ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
306706200,0,3098532.000000,1011139.830000,5464110.240000,59.352974,18.072989,30.596000,6.353000,0.852000,1.049000,1.130000,304802.433992
306706400,0,3098531.990000,1011139.850000,5464110.230000,59.352974,18.072989,30.577000,6.334000,0.852000,1.050000,1.130000,304802.433992
306706600,0,3098531.960000,1011139.860000,5464110.170000,59.352974,18.072990,30.517000,6.274000,0.852000,1.049000,1.180000,304802.433992
306706800,0,3098531.930000,1011139.860000,5464110.120000,59.352974,18.072990,30.461000,6.218000,0.852000,1.047000,1.180000,304802.433992
306707000,0,3098531.920000,1011139.860000,5464110.080000,59.352974,18.072990,30.423000,6.180000,0.852000,1.045000,1.130000,304802.434053
306707200,0,3098531.890000,1011139.860000,5464110.030000,59.352974,18.072990,30.362000,6.119000,0.852000,1.043000,1.130000,304802.434053
306707400,0,3098531.880000,1011139.870000,5464110.010000,59.352974,18.072990,30.342000,6.098001,0.851000,1.042000,1.130000,304802.434053
306707600,0,3098531.870000,1011139.870000,5464110.000000,59.352974,18.072991,30.326000,6.083000,0.851000,1.040000,1.130000,304802.434053
306707800,0,3098531.850000,1011139.870000,5464109.980000,59.352974,18.072991,30.305000,6.062000,0.853000,1.040000,1.130000,304802.434053
306708000,0,3098531.850000,1011139.870000,5464109.980000,59.352974,18.072991,30.302000,6.059000,0.854000,1.039000,1.130000,304802.434023
306708200,0,3098531.840000,1011139.870000,5464109.960000,59.352974,18.072991,30.278000,6.035000,0.854000,1.039000,1.130000,304802.434023
306708400,0,3098531.830000,1011139.870000,5464109.940000,59.352974,18.072991,30.258000,6.015000,0.854000,1.040000,1.130000,304802.434023
306708600,0,3098531.810000,1011139.870000,5464109.910000,59.352974,18.072991,30.225000,5.981000,0.854000,1.039000,1.130000,304802.434023
306708800,0,3098531.800000,1011139.870000,5464109.890000,59.352974,18.072991,30.205000,5.961000,0.855000,1.038000,1.130000,304802.434023
306709000,0,3098531.790000,1011139.860000,5464109.870000,59.352974,18.072991,30.175000,5.932000,0.855000,1.037000,1.180000,304802.434084
306709200,0,3098531.780000,1011139.850000,5464109.850000,59.352974,18.072991,30.152000,5.908000,0.855000,1.037000,1.130000,304802.434084
306709400,0,3098531.760000,1011139.840000,5464109.820000,59.352974,18.072991,30.119000,5.876000,0.855000,1.037000,1.130000,304802.434084
306709600,0,3098531.730000,1011139.840000,5464109.780000,59.352974,18.072991,30.070000,5.827000,0.856000,1.037000,1.130000,304802.434084
306709800,0,3098531.720000,1011139.840000,5464109.740000,59.352974,18.072991,30.025000,5.781000,0.856000,1.037000,1.130000,304802.434084
306710000,0,3098531.690000,1011139.840000,5464109.700000,59.352974,18.072991,29.982000,5.738000,0.859000,1.039000,1.130000,304802.434053
306710200,0,3098531.670000,1011139.840000,5464109.670000,59.352974,18.072991,29.942000,5.699000,0.861000,1.040000,1.130000,304802.434053
306710400,0,3098531.650000,1011139.830000,5464109.650000,59.352974,18.072991,29.917000,5.673000,0.863000,1.041000,1.130000,304802.434053
