_ID_,cBrdConfig,checksum,gps1AntOffset[0],gps1AntOffset[1],gps1AntOffset[2],gps2AntOffset[0],gps2AntOffset[1],gps2AntOffset[2],gpsTimeSyncPeriodMs,insDynModel,insOffset[0],insOffset[1],insOffset[2],insRotation[0],insRotation[1],insRotation[2],ioConfig,key,lastLla[0],lastLla[1],lastLla[2],lastLlaTimeOfWeekMs,lastLlaUpdateDistance,lastLlaWeek,magDeclination,magInclination,refLla[0],refLla[1],refLla[2],RTKCfgBits,sensorConfig,ser0BaudRate,ser1BaudRate,size,startupGPSDtMs,startupImuDtMs,startupNavDtMs,sysCfgBits,zeroVelOffset[0],zeroVelOffset[1],zeroVelOffset[2],zeroVelRotation[0],zeroVelRotation[1],zeroVelRotation[2]
1,0,3780733173,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,-0.042060677,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
12,0,3780733173,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,-0.042060677,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
23,0,3780733173,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,-0.042060677,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
