timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
208633.263, 59.3530537, 18.0731486, 36.11, 1599.951904, -1923.085938, -4.909806, -14.0,  -9.7, -30.2
208633.303, 59.3530538, 18.0731487, 36.13, 1599.953735, -1923.084717, -4.930647, -14.1, -10.2, -29.9
208633.343, 59.3530538, 18.0731487, 36.15, 1599.956055, -1923.083496, -4.954935, -14.1, -10.4, -29.6
208633.383, 59.3530538, 18.0731487, 36.18, 1599.958618, -1923.081665, -4.980633, -14.2, -10.5, -29.3
208633.423, 59.3530538, 18.0731488, 36.20, 1599.961182, -1923.079834, -5.006082, -14.3, -10.4, -29.0
208633.463, 59.3530539, 18.0731482, 36.22, 1599.967529, -1923.112305, -5.027292, -14.5, -10.2, -28.7
208633.503, 59.3530539, 18.0731482, 36.25, 1599.970703, -1923.110107, -5.054834, -14.5, -10.0, -28.3
208633.543, 59.3530539, 18.0731483, 36.28, 1599.973755, -1923.107910, -5.081568, -14.6,  -9.5, -28.0
208633.583, 59.3530540, 18.0731483, 36.30, 1599.977173, -1923.105347, -5.108005, -14.5,  -8.8, -27.9
208633.623, 59.3530540, 18.0731484, 36.33, 1599.980835, -1923.102783, -5.134433, -14.2,  -8.0, -27.8
208633.663, 59.3530541, 18.0731477, 36.35, 1599.988037, -1923.141846, -5.150589, -13.9,  -7.2, -27.9
208633.703, 59.3530541, 18.0731477, 36.37, 1599.991577, -1923.139038, -5.173641, -13.7,  -6.5, -27.9
208633.743, 59.3530541, 18.0731478, 36.39, 1599.994751, -1923.135376, -5.194891, -13.4,  -5.9, -27.9
208633.783, 59.3530541, 18.0731479, 36.41, 1599.997192, -1923.130493, -5.213047, -12.9,  -5.0, -27.8
208633.823, 59.3530542, 18.0731480, 36.43, 1599.998291, -1923.124634, -5.230310, -12.5,  -4.1, -27.6
208633.863, 59.3530542, 18.0731476, 36.44, 1600.000122, -1923.147827, -5.241496, -12.3,  -3.3, -27.2
208633.903, 59.3530542, 18.0731477, 36.45, 1599.999878, -1923.140747, -5.256520, -12.3,  -2.4, -26.8
208633.943, 59.3530542, 18.0731478, 36.47, 1600.000122, -1923.132446, -5.269253, -12.1,  -1.5, -26.9
208633.983, 59.3530542, 18.0731480, 36.47, 1600.000854, -1923.123291, -5.278454, -11.7,  -0.9, -27.1
208634.023, 59.3530542, 18.0731482, 36.48, 1600.001587, -1923.113037, -5.287362, -11.4,  -0.6, -27.6
208634.063, 59.3530542, 18.0731479, 36.48, 1600.003418, -1923.130981, -5.288139, -11.1,  -0.7, -28.2
208634.103, 59.3530542, 18.0731481, 36.49, 1600.002930, -1923.117798, -5.292057, -10.9,  -1.0, -28.4
208634.143, 59.3530542, 18.0731484, 36.49, 1600.001587, -1923.102783, -5.294720, -10.7,  -1.3, -28.7
208634.183, 59.3530542, 18.0731486, 36.49, 1599.999756, -1923.086426, -5.297565, -10.8,  -1.5, -28.9
208634.223, 59.3530542, 18.0731490, 36.50, 1599.997559, -1923.068604, -5.299068, -11.1,  -1.6, -29.2
208634.263, 59.3530541, 18.0731487, 36.49, 1599.995483, -1923.082031, -5.295343, -11.5,  -1.7, -29.5
208634.303, 59.3530541, 18.0731491, 36.49, 1599.993652, -1923.062256, -5.297150, -11.9,  -1.9, -30.0
208634.343, 59.3530541, 18.0731494, 36.50, 1599.991577, -1923.041504, -5.299908, -12.3,  -1.9, -30.7
208634.383, 59.3530541, 18.0731498, 36.50, 1599.989380, -1923.019897, -5.300359, -12.6,  -1.6, -31.6
208634.423, 59.3530541, 18.0731502, 36.50, 1599.987183, -1922.996948, -5.301659, -12.4,  -1.6, -32.3
208634.463, 59.3530540, 18.0731501, 36.49, 1599.983765, -1923.004272, -5.295000, -11.7,  -2.0, -32.9
208634.503, 59.3530540, 18.0731505, 36.49, 1599.981445, -1922.979614, -5.292985, -11.3,  -2.4, -33.4
208634.543, 59.3530540, 18.0731510, 36.49, 1599.978638, -1922.954956, -5.290783, -11.2,  -2.8, -33.7
208634.583, 59.3530540, 18.0731514, 36.49, 1599.976196, -1922.929565, -5.289052, -11.3,  -3.4, -33.9
208634.623, 59.3530539, 18.0731519, 36.49, 1599.974121, -1922.903931, -5.289510, -11.3,  -4.1, -33.8
208634.663, 59.3530539, 18.0731517, 36.48, 1599.968750, -1922.914307, -5.282509, -11.3,  -4.5, -33.5
208634.703, 59.3530539, 18.0731521, 36.48, 1599.968628, -1922.888184, -5.280305, -11.0,  -4.6, -33.2
208634.743, 59.3530539, 18.0731526, 36.47, 1599.970703, -1922.861694, -5.277952, -10.7,  -4.7, -32.8
208634.783, 59.3530539, 18.0731531, 36.47, 1599.974731, -1922.835327, -5.275233, -10.3,  -4.8, -32.6
208634.823, 59.3530540, 18.0731535, 36.47, 1599.980347, -1922.809082, -5.272632, -10.0,  -4.6, -32.5
208634.863, 59.3530540, 18.0731534, 36.46, 1599.979736, -1922.819214, -5.264665,  -9.7,  -4.4, -32.6
208634.903, 59.3530541, 18.0731538, 36.46, 1599.987305, -1922.792725, -5.262314,  -9.7,  -4.4, -32.5
208634.943, 59.3530541, 18.0731543, 36.46, 1599.996094, -1922.765747, -5.262106, -10.0,  -4.5, -32.2
208634.983, 59.3530542, 18.0731548, 36.46, 1600.006592, -1922.737549, -5.259408, -10.2,  -4.7, -32.1
208635.023, 59.3530543, 18.0731553, 36.45, 1600.019165, -1922.708130, -5.255369, -10.4,  -4.9, -32.0
208635.063, 59.3530544, 18.0731552, 36.44, 1600.020630, -1922.715332, -5.246671, -10.5,  -4.9, -31.7
208635.103, 59.3530545, 18.0731557, 36.44, 1600.036621, -1922.683716, -5.244529, -10.7,  -4.8, -31.5
208635.143, 59.3530547, 18.0731563, 36.44, 1600.054565, -1922.651367, -5.242022, -10.9,  -4.8, -31.2
208635.183, 59.3530548, 18.0731569, 36.44, 1600.074585, -1922.618286, -5.241894, -11.1,  -5.0, -31.0
208635.223, 59.3530550, 18.0731575, 36.44, 1600.095703, -1922.584717, -5.244364, -11.3,  -5.2, -31.0
208635.263, 59.3530551, 18.0731574, 36.44, 1600.098267, -1922.587646, -5.239762, -11.5,  -5.6, -31.0
208635.303, 59.3530553, 18.0731580, 36.44, 1600.121338, -1922.553589, -5.240418, -11.4,  -6.0, -30.8
208635.343, 59.3530555, 18.0731586, 36.44, 1600.144653, -1922.519653, -5.240991, -11.3,  -6.2, -30.7
208635.383, 59.3530557, 18.0731592, 36.44, 1600.167236, -1922.486816, -5.243953, -11.2,  -6.0, -31.1
208635.423, 59.3530559, 18.0731598, 36.44, 1600.187988, -1922.454346, -5.247592, -11.5,  -5.5, -31.1
