_ID_,hdwStatus,insStatus,lla[0],lla[1],lla[2],ned[0],ned[1],ned[2],theta[0],theta[1],theta[2],timeOfWeek,uvw[0],uvw[1],uvw[2],week
14,91,419634551,59.352953137285077,18.07315734653935,29.693521763198078,2144310,11034127,1388.90442,0.254386663,0.012967187,-2.60931039,135818.23851673782,0.00547123514,-0.0274008177,0.0626473427,2040
31,91,419634551,59.352953124024452,18.073157383698753,29.693327745422721,2144310,11034127,1388.90466,0.253303975,0.0152297923,-2.60665846,135818.2885167402,0.00567379966,-0.0290611684,0.0653406605,2040
44,91,419634551,59.352953108922136,18.073157410866017,29.695038201287389,2144310,11034127,1388.90295,0.255085379,0.0175111871,-2.60481071,135818.33854139631,0.0084628826,-0.0221087616,0.0644929856,2040
58,83,419634551,59.35295309000238,18.073157438089535,29.695623407140374,2144310,11034127,1388.90234,0.255934656,0.0201182067,-2.60317039,135818.38854139869,0.0113604972,-0.0134947477,0.0534820445,2040
71,83,419634551,59.352953071193198,18.073157454077101,29.691926038824022,2144309.75,11034127,1388.90601,0.258993804,0.0224220566,-2.60172796,135818.43849622982,0.0152620077,-0.00381839834,0.0482312478,2040
85,91,419634551,59.352953052804708,18.073157459695256,29.689434277825058,2144309.75,11034127,1388.90845,0.2606861,0.0248331539,-2.60075116,135818.4884962322,0.0123699252,-0.00102238636,0.043578811,2040
98,91,419634551,59.352953040418875,18.073157449483045,29.688498010858893,2144309.75,11034127,1388.90942,0.263507485,0.0268278699,-2.6003747,135818.53858412092,0.00752439816,0.00401462056,0.0363020673,2040
112,91,419634551,59.352953033309575,18.07315744711947,29.688228932209313,2144309.75,11034127,1388.90967,0.262304515,0.028741071,-2.59984732,135818.5885841233,0.0051756911,0.00998799689,0.0282224268,2040
125,83,419634551,59.352953167065934,18.073157165654074,29.687815991230309,2144310,11034127,1388.91016,0.262684226,0.0300911181,-2.59954405,135818.63851063431,0.00403991342,0.0106006647,0.0227658469,2040
139,83,419634551,59.352953250750751,18.073156967169165,29.685889113694429,2144310,11034127,1388.91211,0.262503237,0.0315074362,-2.59941483,135818.68851063668,0.00471341982,0.0127602909,0.0189859737,2040
152,83,419634551,59.352953289101499,18.073156754736935,29.683120044879615,2144310,11034127,1388.91479,0.26458922,0.0326445699,-2.59968305,135818.7385352928,0.00767108519,0.0138384355,0.0186816361,2040
166,83,419634551,59.352953277916647,18.073156688994992,29.684488813392818,2144310,11034127,1388.91345,0.266634166,0.0337677337,-2.6000483,135818.78853529517,0.00618021889,0.00673111621,0.0152586196,2040
179,83,419634551,59.352953281899083,18.073156659346374,29.684562878683209,2144310,11034127,1388.91333,0.268284589,0.0346440449,-2.60025764,135818.83849012631,0.00748115685,0.00800385792,0.00847297534,2040
193,91,419634551,59.352953262620318,18.073156742062427,29.684318886138499,2144310,11034127,1388.91357,0.269606948,0.035467606,-2.60012722,135818.88849012868,0.00543968892,0.000347955269,0.00969993696,2040
206,91,419634551,59.352953216092502,18.073156761832692,29.684461972676218,2144310,11034127,1388.91345,0.272129089,0.0365157612,-2.59995079,135818.93857801741,0.00868537836,0.00174555182,0.0142978374,2040
220,91,419634551,59.35295314709618,18.073156748325559,29.684176764450967,2144310,11034127,1388.91382,0.273655325,0.0382046402,-2.59998298,135818.98857801978,0.0107103325,0.00516807055,0.021631049,2040
233,91,419634551,59.352953134422982,18.073156734071862,29.683924564160407,2144310,11034127,1388.91406,0.276388437,0.0398086756,-2.59979725,135819.03847406653,0.00493016373,-0.00230008434,0.0298873615,2040
247,91,419634551,59.352953132120795,18.073156758520259,29.68389877397567,2144310,11034127,1388.91406,0.278048873,0.0417054147,-2.59921813,135819.08847406891,-0.000587206334,-0.00123259798,0.0283508506,2040
260,83,419634551,59.352953197041934,18.073156895320938,29.683868385851383,2144310,11034127,1388.91406,0.279191971,0.0430797338,-2.59926009,135819.13849872502,-0.0030798302,-0.00186021207,0.0221982133,2040
