sat, iode, iodc, sva, svh, week, code, flag,toe1, toe2, toc1, toc2, ttr1, ttr2, A, e, i0, OMG0, omg, M0, deln, OMGd, idot, crc, crs, cuc, cus, cic, cis, toes, fit, f0, f1, f2
85,120,120,107,0,2078,1,0,1573041600,0.000000,1573041600,0.000000,1573044049,0.000000,2.9600184753e+07,3.0137808062e-04,9.8243107278e-01,9.9832391197e-02,-2.6938287312e+00,-8.4766875045e-01,3.0029822291e-09,-5.5902328556e-09,3.8001582918e-10,2.2421875000e+02,4.8718750000e+01,2.3730099201e-06,5.9138983488e-06,-4.8428773880e-08,7.4505805969e-09,3.0240000000e+05,0.000000,3.9085572935e-03,-4.3797854232e-11,0.0000000000e+00
89,120,120,107,0,2078,1,0,1573041600,0.000000,1573041600,0.000000,1573044049,0.000000,2.9600199240e+07,1.8021697178e-04,9.8294408450e-01,-1.9835216774e+00,-4.4641452821e-02,1.6706804907e-01,2.9294077359e-09,-5.5973760103e-09,-2.7572577080e-10,2.4362500000e+02,2.9062500000e+00,1.8626451492e-07,4.9360096455e-06,4.0978193283e-08,1.6763806343e-08,3.0240000000e+05,0.000000,4.4069373980e-03,-3.0794922168e-11,0.0000000000e+00
67,122,122,107,0,2078,1,0,1573042800,0.000000,1573042800,0.000000,1573044049,0.000000,2.9600446756e+07,2.7974229306e-04,9.5909316114e-01,2.1949050831e+00,4.2284328699e-01,1.9321085962e+00,3.0265546396e-09,-5.4134397772e-09,-1.1750489455e-10,7.6281250000e+01,-5.9937500000e+01,-2.9131770134e-06,1.2217089534e-05,-3.7252902985e-09,3.3527612686e-08,3.0360000000e+05,0.000000,6.2670297921e-03,-5.4001247918e-12,0.0000000000e+00
66,117,117,107,0,2078,1,0,1573039800,0.000000,1573039800,0.000000,1573044057,0.000000,2.9600454456e+07,2.0358071197e-04,9.5316089521e-01,2.2022383082e+00,3.6630770893e-02,1.1615257450e+00,3.1269159629e-09,-5.4705850147e-09,-8.2146278865e-11,9.2968750000e+01,-5.7250000000e+01,-2.6021152735e-06,1.1326745152e-05,1.3038516045e-08,3.5390257835e-08,3.0060000000e+05,0.000000,-2.9531517066e-04,-5.5564441936e-12,0.0000000000e+00
67,122,122,107,0,2078,1,0,1573042800,0.000000,1573042800,0.000000,1573044057,0.000000,2.9600446756e+07,2.7974229306e-04,9.5909316114e-01,2.1949050831e+00,4.2284328699e-01,1.9321085962e+00,3.0265546396e-09,-5.4134397772e-09,-1.1750489455e-10,7.6281250000e+01,-5.9937500000e+01,-2.9131770134e-06,1.2217089534e-05,-3.7252902985e-09,3.3527612686e-08,3.0360000000e+05,0.000000,6.2670297921e-03,-5.4001247918e-12,0.0000000000e+00
85,120,120,107,0,2078,1,0,1573041600,0.000000,1573041600,0.000000,1573044057,0.000000,2.9600184753e+07,3.0137808062e-04,9.8243107278e-01,9.9832391197e-02,-2.6938287312e+00,-8.4766875045e-01,3.0029822291e-09,-5.5902328556e-09,3.8001582918e-10,2.2421875000e+02,4.8718750000e+01,2.3730099201e-06,5.9138983488e-06,-4.8428773880e-08,7.4505805969e-09,3.0240000000e+05,0.000000,3.9085572935e-03,-4.3797854232e-11,0.0000000000e+00
89,120,120,107,0,2078,1,0,1573041600,0.000000,1573041600,0.000000,1573044057,0.000000,2.9600199240e+07,1.8021697178e-04,9.8294408450e-01,-1.9835216774e+00,-4.4641452821e-02,1.6706804907e-01,2.9294077359e-09,-5.5973760103e-09,-2.7572577080e-10,2.4362500000e+02,2.9062500000e+00,1.8626451492e-07,4.9360096455e-06,4.0978193283e-08,1.6763806343e-08,3.0240000000e+05,0.000000,4.4069373980e-03,-3.0794922168e-11,0.0000000000e+00
61,118,118,107,0,2078,1,0,1573040400,0.000000,1573040400,0.000000,1573044057,0.000000,2.9600260091e+07,2.8768600896e-04,9.8541772391e-01,-1.9864238932e+00,-8.5463497617e-01,1.6075745452e+00,2.8890489119e-09,-5.5677319184e-09,-2.9251218431e-10,2.4162500000e+02,9.4687500000e+00,4.8056244850e-07,5.1055103540e-06,1.3038516045e-08,1.8626451492e-09,3.0120000000e+05,0.000000,9.0013316367e-05,2.5721647035e-12,0.0000000000e+00
66,117,117,107,0,2078,1,0,1573039800,0.000000,1573039800,0.000000,1573044059,0.000000,2.9600454456e+07,2.0358071197e-04,9.5316089521e-01,2.2022383082e+00,3.6630770893e-02,1.1615257450e+00,3.1269159629e-09,-5.4705850147e-09,-8.2146278865e-11,9.2968750000e+01,-5.7250000000e+01,-2.6021152735e-06,1.1326745152e-05,1.3038516045e-08,3.5390257835e-08,3.0060000000e+05,0.000000,-2.9531517066e-04,-5.5564441936e-12,0.0000000000e+00
67,122,122,107,0,2078,1,0,1573042800,0.000000,1573042800,0.000000,1573044059,0.000000,2.9600446756e+07,2.7974229306e-04,9.5909316114e-01,2.1949050831e+00,4.2284328699e-01,1.9321085962e+00,3.0265546396e-09,-5.4134397772e-09,-1.1750489455e-10,7.6281250000e+01,-5.9937500000e+01,-2.9131770134e-06,1.2217089534e-05,-3.7252902985e-09,3.3527612686e-08,3.0360000000e+05,0.000000,6.2670297921e-03,-5.4001247918e-12,0.0000000000e+00
