ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
304814400,0,3098531.410000,1011139.390000,5464105.020000,59.352956,18.072985,25.749000,1.505000,2.049000,2.294000,1.650000,0.000000
304814600,0,3098531.400000,1011139.390000,5464105.040000,59.352956,18.072985,25.756000,1.512000,1.965000,2.219000,1.650000,0.000000
304814800,0,3098531.280000,1011139.370000,5464105.020000,59.352957,18.072985,25.682000,1.438000,1.894000,2.152000,1.650000,0.000000
304815000,0,3098531.290000,1011139.350000,5464105.060000,59.352957,18.072985,25.718000,1.475000,1.829000,2.092000,1.650000,304802.417818
304815200,0,3098531.420000,1011139.350000,5464105.130000,59.352956,18.072984,25.836000,1.593000,1.770000,2.036000,1.650000,304802.417818
304815400,0,3098531.480000,1011139.350000,5464105.190000,59.352956,18.072984,25.921000,1.678000,1.717000,1.985000,1.650000,304802.417818
304815600,0,3098531.530000,1011139.340000,5464105.290000,59.352956,18.072983,26.030000,1.787000,1.666000,1.937000,1.650000,304802.417818
304815800,0,3098531.600000,1011139.330000,5464105.360000,59.352956,18.072983,26.123000,1.880000,1.619000,1.892000,1.650000,304802.417818
304816000,0,3098531.700000,1011139.330000,5464105.430000,59.352956,18.072982,26.234000,1.991000,1.577000,1.851000,1.650000,304802.417787
304816200,0,3098531.750000,1011139.320000,5464105.490000,59.352956,18.072982,26.306000,2.063000,1.538000,1.812000,1.650000,304802.417787
304816400,0,3098531.780000,1011139.330000,5464105.570000,59.352956,18.072982,26.392000,2.148000,1.504000,1.777000,1.650000,304802.417787
304816600,0,3098531.830000,1011139.340000,5464105.630000,59.352956,18.072982,26.466000,2.222000,1.472000,1.744000,1.650000,304802.417787
304816800,0,3098531.860000,1011139.350000,5464105.670000,59.352956,18.072982,26.515000,2.272000,1.443000,1.713000,1.650000,304802.417787
304817000,0,3098531.900000,1011139.360000,5464105.720000,59.352956,18.072982,26.581000,2.337000,1.415000,1.683000,1.650000,304802.417848
304817200,0,3098531.880000,1011139.360000,5464105.730000,59.352956,18.072982,26.581000,2.337000,1.389000,1.656000,1.650000,304802.417848
304817400,0,3098531.880000,1011139.350000,5464105.730000,59.352956,18.072982,26.578000,2.334000,1.357000,1.624000,1.650000,304802.417848
304817600,0,3098531.890000,1011139.360000,5464105.730000,59.352956,18.072982,26.588000,2.344000,1.327000,1.594000,1.650000,304802.417848
304817800,0,3098531.910000,1011139.370000,5464105.740000,59.352956,18.072982,26.601000,2.358000,1.299000,1.566000,1.650000,304802.417848
304818000,0,3098531.930000,1011139.380000,5464105.730000,59.352955,18.072982,26.612000,2.369000,1.273000,1.539000,1.650000,304802.417818
304818200,0,3098531.960000,1011139.380000,5464105.710000,59.352955,18.072982,26.606000,2.363000,1.249000,1.515000,1.650000,304802.417818
304818400,0,3098531.990000,1011139.390000,5464105.680000,59.352955,18.072982,26.597000,2.354000,1.228000,1.493000,1.650000,304802.417818
304818600,0,3098532.010000,1011139.410000,5464105.680000,59.352954,18.072982,26.605000,2.361000,1.209000,1.472000,1.650000,304802.417818
304818800,0,3098532.030000,1011139.420000,5464105.660000,59.352954,18.072982,26.606000,2.363000,1.191000,1.452000,1.650000,304802.417818
304819000,0,3098532.050000,1011139.430000,5464105.640000,59.352954,18.072982,26.593000,2.349000,1.174000,1.433000,1.650000,304802.417879
304819200,0,3098532.060000,1011139.440000,5464105.620000,59.352954,18.072982,26.583000,2.340000,1.158000,1.416000,1.650000,304802.417879
304819400,0,3098532.060000,1011139.460000,5464105.610000,59.352954,18.072983,26.579000,2.336000,1.142000,1.398000,1.650000,304802.417879
304819600,0,3098532.060000,1011139.480000,5464105.590000,59.352954,18.072983,26.563000,2.320000,1.130000,1.384000,1.650000,304802.417879
304819800,0,3098532.050000,1011139.480000,5464105.560000,59.352953,18.072983,26.543000,2.299000,1.119000,1.371000,1.650000,304802.417879
304820000,0,3098532.060000,1011139.500000,5464105.540000,59.352953,18.072983,26.526000,2.283000,1.105000,1.356000,1.650000,304802.417848
304820200,0,3098532.070000,1011139.510000,5464105.510000,59.352953,18.072983,26.507000,2.264000,1.092000,1.343000,1.650000,304802.417848
304820400,0,3098532.060000,1011139.520000,5464105.500000,59.352953,18.072984,26.497000,2.253000,1.080000,1.330000,1.650000,304802.417848
304820600,0,3098532.060000,1011139.540000,5464105.480000,59.352953,18.072984,26.479000,2.236000,1.068000,1.318000,1.650000,304802.417848
304820800,0,3098532.050000,1011139.540000,5464105.450000,59.352953,18.072984,26.455000,2.212000,1.057000,1.307000,1.650000,304802.417848
304821000,0,3098532.050000,1011139.550000,5464105.420000,59.352953,18.072984,26.429000,2.186000,1.046000,1.296000,1.650000,304802.417909
304821200,0,3098532.050000,1011139.570000,5464105.420000,59.352953,18.072985,26.423000,2.180000,1.036000,1.286000,1.650000,304802.417909
304821400,0,3098532.040000,1011139.580000,5464105.410000,59.352953,18.072985,26.416000,2.173000,1.027000,1.277000,1.650000,304802.417909
304821600,0,3098532.040000,1011139.590000,5464105.410000,59.352953,18.072985,26.418000,2.174000,1.020000,1.270000,1.650000,304802.417909
304821800,0,3098532.040000,1011139.600000,5464105.390000,59.352953,18.072985,26.406000,2.162000,1.014000,1.264000,1.650000,304802.417909
304822000,0,3098532.040000,1011139.600000,5464105.380000,59.352953,18.072985,26.398000,2.155000,1.007000,1.258000,1.650000,304802.417879
304822200,0,3098532.030000,1011139.610000,5464105.370000,59.352953,18.072985,26.383000,2.139000,1.001000,1.252000,1.650000,304802.417879
304822400,0,3098532.020000,1011139.620000,5464105.370000,59.352953,18.072986,26.379000,2.135000,0.995000,1.245000,1.650000,304802.417879
304822600,0,3098532.020000,1011139.620000,5464105.340000,59.352952,18.072985,26.354000,2.111000,0.988000,1.238000,1.650000,304802.417879
304822800,0,3098532.040000,1011139.620000,5464105.310000,59.352952,18.072985,26.337000,2.093000,0.982000,1.232000,1.650000,304802.417879
304823000,0,3098532.050000,1011139.620000,5464105.300000,59.352952,18.072985,26.332000,2.089000,0.976000,1.227000,1.650000,304802.417940
304823200,0,3098532.050000,1011139.620000,5464105.260000,59.352952,18.072985,26.306000,2.062000,0.970000,1.222000,1.650000,304802.417940
304823400,0,3098532.050000,1011139.620000,5464105.230000,59.352952,18.072985,26.280000,2.036000,0.962000,1.217000,1.650000,304802.417940
304823600,0,3098532.050000,1011139.610000,5464105.210000,59.352952,18.072985,26.253000,2.010000,0.954000,1.212000,1.650000,304802.417940
304823800,0,3098532.040000,1011139.610000,5464105.170000,59.352951,18.072985,26.215000,1.972000,0.947000,1.206000,1.650000,304802.417940
304824000,0,3098532.040000,1011139.610000,5464105.140000,59.352951,18.072985,26.192000,1.949000,0.940000,1.201000,1.650000,304802.417909
304824200,0,3098532.030000,1011139.610000,5464105.120000,59.352951,18.072985,26.168000,1.924000,0.933000,1.196000,1.650000,304802.417909
304824400,0,3098532.030000,1011139.610000,5464105.090000,59.352951,18.072985,26.145000,1.901000,0.926000,1.191000,1.650000,304802.417909
304824600,0,3098532.030000,1011139.610000,5464105.080000,59.352951,18.072985,26.133000,1.889000,0.918000,1.185000,1.650000,304802.417909
304824800,0,3098532.050000,1011139.630000,5464105.070000,59.352951,18.072985,26.134000,1.890000,0.910000,1.179000,1.650000,304802.417909
304825000,0,3098532.070000,1011139.640000,5464105.070000,59.352951,18.072986,26.144000,1.901000,0.902000,1.173000,1.650000,304802.417970
