ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
570565400,0,3098535.990000,1011151.280000,5464110.180000,59.352917,18.073159,34.285000,10.042001,0.831000,1.175000,1.190000,553056.515596
570565600,0,3098536.020000,1011151.280000,5464110.140000,59.352917,18.073159,34.264000,10.021001,0.831000,1.176000,1.190000,553056.515596
570565800,0,3098536.040000,1011151.270000,5464110.070000,59.352917,18.073158,34.219000,9.976001,0.830000,1.176000,1.190000,553056.515596
570566000,0,3098536.060000,1011151.260000,5464109.990000,59.352916,18.073158,34.149000,9.906000,0.816000,1.158000,1.190000,553056.515566
570566200,0,3098536.080000,1011151.240000,5464109.920000,59.352916,18.073158,34.096000,9.853001,0.830000,1.180000,1.190000,553056.515566
570566400,0,3098536.110000,1011151.230000,5464109.830000,59.352915,18.073157,34.032000,9.788000,0.843000,1.200000,1.190000,553056.515566
570566600,0,3098536.140000,1011151.210000,5464109.740000,59.352915,18.073157,33.970000,9.727000,0.849000,1.210000,1.190000,553056.515566
570566800,0,3098536.150000,1011151.190000,5464109.640000,59.352914,18.073156,33.888000,9.645000,0.827000,1.181000,1.190000,553056.515566
570567000,0,3098536.180000,1011151.180000,5464109.560000,59.352913,18.073156,33.831000,9.588000,0.811000,1.160000,1.190000,553056.515627
570567200,0,3098536.200000,1011151.170000,5464109.490000,59.352913,18.073156,33.775000,9.532001,0.801000,1.147000,1.190000,553056.515627
570567400,0,3098536.230000,1011151.160000,5464109.400000,59.352912,18.073155,33.710000,9.466001,0.796000,1.142000,1.190000,553056.515627
570567600,0,3098536.240000,1011151.140000,5464109.300000,59.352912,18.073155,33.629000,9.386001,0.794000,1.140000,1.210000,553056.515627
570567800,0,3098536.270000,1011151.140000,5464109.250000,59.352911,18.073155,33.598000,9.355000,0.786000,1.129000,1.210000,553056.515627
570568000,0,3098536.300000,1011151.140000,5464109.180000,59.352911,18.073155,33.549000,9.305000,0.777000,1.117000,1.210000,553056.515596
570568200,0,3098536.330000,1011151.140000,5464109.110000,59.352910,18.073155,33.502000,9.259001,0.782000,1.126000,1.190000,553056.515596
570568400,0,3098536.360000,1011151.140000,5464109.040000,59.352910,18.073154,33.459000,9.216001,0.783000,1.128000,1.190000,553056.515596
570568600,0,3098536.380000,1011151.130000,5464108.970000,59.352909,18.073154,33.412000,9.169001,0.785000,1.133000,1.190000,553056.515596
570568800,0,3098536.400000,1011151.130000,5464108.890000,59.352909,18.073154,33.352000,9.109000,0.793000,1.144000,1.210000,553056.515596
570569000,0,3098536.400000,1011151.120000,5464108.800000,59.352908,18.073154,33.271000,9.028001,0.792000,1.143000,1.190000,553056.515657
570569200,0,3098536.400000,1011151.110000,5464108.700000,59.352908,18.073154,33.183000,8.940001,0.787000,1.136000,1.190000,553056.515657
