timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
570458.354, 59.3528967, 18.0731244, 32.33, 366.332550, 327.113220, 57.214451,  82.6,  -3.0,  21.9
570458.454, 59.3528967, 18.0731243, 32.33, 366.332581, 327.109283, 57.210991,  82.6,  -3.0,  21.9
570458.554, 59.3528967, 18.0731244, 32.33, 366.332031, 327.110748, 57.213482,  82.6,  -3.0,  21.9
570458.654, 59.3528967, 18.0731243, 32.33, 366.332031, 327.106934, 57.214275,  82.6,  -3.0,  21.9
570458.754, 59.3528967, 18.0731243, 32.33, 366.333588, 327.108887, 57.211792,  82.6,  -3.0,  21.9
570458.854, 59.3528967, 18.0731243, 32.34, 366.333618, 327.105133, 57.203800,  82.6,  -3.0,  21.9
570458.954, 59.3528967, 18.0731244, 32.34, 366.333893, 327.112885, 57.200119,  82.6,  -3.0,  21.9
570459.054, 59.3528967, 18.0731243, 32.34, 366.333893, 327.109070, 57.199764,  82.6,  -3.0,  21.9
570459.154, 59.3528968, 18.0731244, 32.34, 366.334961, 327.111450, 57.201096,  82.6,  -3.0,  21.9
570459.254, 59.3528968, 18.0731243, 32.33, 366.334991, 327.107605, 57.210850,  82.6,  -3.0,  21.9
570459.354, 59.3528968, 18.0731244, 32.33, 366.336182, 327.110199, 57.212936,  82.6,  -3.0,  21.9
570459.454, 59.3528968, 18.0731243, 32.33, 366.336212, 327.106476, 57.214607,  82.6,  -3.0,  21.9
570459.554, 59.3528968, 18.0731244, 32.33, 366.336365, 327.110565, 57.213203,  82.6,  -3.0,  21.9
570459.654, 59.3528968, 18.0731243, 32.32, 366.336395, 327.106750, 57.216061,  82.6,  -3.0,  21.9
570459.754, 59.3528968, 18.0731244, 32.33, 366.337311, 327.110870, 57.210381,  82.6,  -3.0,  21.9
570459.854, 59.3528968, 18.0731243, 32.32, 366.337372, 327.107147, 57.215214,  82.6,  -3.0,  21.9
570459.954, 59.3528968, 18.0731244, 32.32, 366.335449, 327.111938, 57.215172,  82.6,  -3.0,  21.9
570460.054, 59.3528968, 18.0731243, 32.33, 366.335449, 327.108185, 57.210255,  82.6,  -3.0,  21.9
570460.154, 59.3528968, 18.0731244, 32.33, 366.335419, 327.111786, 57.207897,  82.6,  -3.0,  21.9
570460.254, 59.3528968, 18.0731243, 32.33, 366.335449, 327.108032, 57.213760,  82.6,  -3.0,  21.9
570460.354, 59.3528967, 18.0731244, 32.33, 366.334381, 327.112244, 57.209419,  82.6,  -3.0,  21.9
570460.454, 59.3528967, 18.0731243, 32.33, 366.334412, 327.108490, 57.214279,  82.6,  -3.0,  21.9
570460.554, 59.3528967, 18.0731244, 32.32, 366.334808, 327.110748, 57.216404,  82.6,  -3.0,  21.9
570460.654, 59.3528967, 18.0731243, 32.32, 366.334869, 327.107056, 57.223038,  82.6,  -3.0,  21.9
570460.754, 59.3528968, 18.0731243, 32.32, 366.334869, 327.108795, 57.219929,  82.6,  -3.0,  21.9
570460.854, 59.3528968, 18.0731243, 32.32, 366.334961, 327.105042, 57.221504,  82.6,  -3.0,  21.9
570460.954, 59.3528967, 18.0731243, 32.32, 366.334564, 327.107727, 57.217346,  82.6,  -3.0,  21.9
570461.054, 59.3528967, 18.0731242, 32.32, 366.334625, 327.104034, 57.220024,  82.6,  -3.0,  21.9
570461.154, 59.3528968, 18.0731243, 32.32, 366.337555, 327.105927, 57.223076,  82.6,  -3.0,  21.9
570461.254, 59.3528968, 18.0731242, 32.32, 366.337616, 327.102264, 57.222752,  82.6,  -3.0,  21.9
570461.354, 59.3528968, 18.0731242, 32.32, 366.340576, 327.104004, 57.223026,  82.5,  -3.0,  21.9
