ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
573350000,0,3098533.370000,1011155.900000,5464108.780000,59.352919,18.073250,32.540000,8.297000,0.466000,0.878000,1.040000,573073.537752
573350200,0,3098533.410000,1011155.910000,5464108.830000,59.352919,18.073250,32.603000,8.360001,0.467000,0.878000,1.040000,573073.537752
573350400,0,3098533.440000,1011155.910000,5464108.870000,59.352919,18.073250,32.657000,8.414001,0.467000,0.877000,1.040000,573073.537752
573350600,0,3098533.470000,1011155.920000,5464108.920000,59.352919,18.073250,32.716000,8.473001,0.466000,0.875000,1.040000,573073.537752
573350800,0,3098533.510000,1011155.930000,5464108.970000,59.352919,18.073250,32.780000,8.537001,0.466000,0.874000,0.980000,573073.537752
573351000,0,3098533.540000,1011155.930000,5464109.020000,59.352919,18.073250,32.831000,8.588000,0.466000,0.873000,0.980000,573073.537813
573351200,0,3098533.570000,1011155.930000,5464109.050000,59.352919,18.073250,32.874000,8.631001,0.466000,0.871000,0.980000,573073.537813
573351400,0,3098533.590000,1011155.920000,5464109.070000,59.352919,18.073249,32.905000,8.663000,0.465000,0.870000,0.980000,573073.537813
573351600,0,3098533.620000,1011155.920000,5464109.100000,59.352919,18.073249,32.940000,8.697001,0.465000,0.868000,0.980000,573073.537813
573351800,0,3098533.630000,1011155.910000,5464109.120000,59.352919,18.073249,32.964000,8.721001,0.465000,0.867000,0.980000,573073.537813
573352000,0,3098533.650000,1011155.900000,5464109.140000,59.352919,18.073249,32.990000,8.747001,0.465000,0.866000,0.980000,573073.537782
573352200,0,3098533.670000,1011155.900000,5464109.160000,59.352919,18.073249,33.013000,8.770000,0.464000,0.863000,0.950000,573073.537782
573352400,0,3098533.690000,1011155.900000,5464109.170000,59.352919,18.073248,33.034000,8.791000,0.464000,0.860000,0.950000,573073.537782
573352600,0,3098533.710000,1011155.890000,5464109.190000,59.352919,18.073248,33.060000,8.817000,0.463000,0.858000,0.950000,573073.537782
573352800,0,3098533.740000,1011155.890000,5464109.210000,59.352918,18.073248,33.088000,8.845000,0.463000,0.856000,0.950000,573073.537782
573353000,0,3098533.780000,1011155.890000,5464109.240000,59.352918,18.073248,33.131000,8.888000,0.462000,0.853000,0.950000,573073.537843
573353200,0,3098533.810000,1011155.890000,5464109.260000,59.352918,18.073248,33.167000,8.924001,0.462000,0.850000,0.950000,573073.537843
573353400,0,3098533.850000,1011155.880000,5464109.270000,59.352918,18.073247,33.190000,8.947001,0.461000,0.848000,0.950000,573073.537843
573353600,0,3098533.870000,1011155.880000,5464109.280000,59.352918,18.073247,33.212000,8.970000,0.461000,0.846000,1.000000,573073.537843
573353800,0,3098533.900000,1011155.870000,5464109.280000,59.352918,18.073247,33.224000,8.981001,0.460000,0.843000,0.950000,573073.537843
