_ID_,baroTemp,genFaultCode,hdwStatus,imuPeriodMs,imuTemp,insStatus,mcuTemp,navPeriodMs,reserved1,reserved2[0],reserved2[1],reserved2[2],reserved2[3],timeOfWeekMs
4322,49.9822083,0,1114112,1,51.9195976,415304704,0,4,0,0,0,0,0,700085
10007,50.0173531,0,1114114,1,51.970932,415304704,0,4,0,0,0,0,0,710068
15705,50.1579361,0,1114112,1,52.0970535,415304704,0,4,0,0,0,0,0,720052
21434,50.3035355,0,1114112,1,52.2293892,415304704,0,4,0,0,0,0,0,730088
27142,50.3587646,0,1114112,1,52.2807846,415304704,0,4,0,0,0,0,0,740072
32698,50.4792633,0,1114112,1,52.4046516,415304704,0,4,0,0,0,0,0,750055
38410,50.4792633,0,1114112,1,52.4000282,415304704,0,4,0,0,0,0,0,760091
