_ID_,mag[0],mag[1],mag[2],time
4,0.379721463,0.940593064,0.589718282,692.51236132893246
11,0.370066434,0.943532586,0.580883026,692.52236132940743
29,0.373048872,0.914574325,0.571110308,692.55236133083235
35,0.3821899,0.892735422,0.603874743,692.56236133130733
40,0.380020708,0.953251004,0.577818215,692.5723613317823
46,0.363153994,0.924365401,0.592803538,692.58236133225728
50,0.375830173,0.905474842,0.604282558,692.59236133273225
58,0.399423569,0.934188783,0.570917726,692.60233691439498
63,0.38012585,0.966169477,0.584159315,692.61233691486996
72,0.386708587,0.94007206,0.547022164,692.65233691676985
79,0.40236026,0.911821425,0.573432446,692.66233691724483
84,0.392574966,0.914935589,0.576755464,692.6723369177198
90,0.366409808,0.921158969,0.589627862,692.68233691819478
93,0.383342952,0.949955821,0.568567157,692.69233691866975
104,0.408975244,0.918328941,0.573417127,692.70231250033248
108,0.359964341,0.927483499,0.589902878,692.71231250080746
115,0.373070031,0.921076,0.577323735,692.72231250128243
126,0.389170527,0.911812067,0.585883915,692.74231250223238
131,0.382751465,0.905041933,0.567663312,692.75231250270735
137,0.369645774,0.911449492,0.580242515,692.76231250318233
142,0.399424106,0.934188247,0.570919156,692.7723125036573
148,0.36987558,0.924198985,0.574409544,692.78231250413228
172,0.385930359,0.921525955,0.595257103,692.83237964042928
179,0.383039415,0.93730247,0.580455065,692.84237964090426
184,0.353540927,0.920717776,0.571670115,692.85237964137923
191,0.405761421,0.914948285,0.564294636,692.8623796418542
196,0.373430163,0.93365097,0.559332371,692.87237964232918
202,0.376355648,0.93088609,0.58653909,692.88237964280415
207,0.357045591,0.936765134,0.568868518,692.89237964327913
218,0.373003483,0.901573956,0.558674932,692.90235522494186
221,0.392417431,0.908614814,0.582682848,692.91235522541683
227,0.366674215,0.946920097,0.596199453,692.92235522589181
237,0.379760563,0.934009135,0.577412069,692.94235522684176
250,0.357091337,0.930174112,0.55658114,692.97235522826668
256,0.379999727,0.927158117,0.546881616,692.98235522874165
260,0.38263014,0.911731184,0.586000144,692.99235522921663
268,0.37305963,0.921086848,0.577293992,693.00233081087936
273,0.36657539,0.914404154,0.565152586,693.01233081135433
279,0.372799128,0.921436191,0.601610482,693.02233081182931
290,0.389609009,0.930809617,0.568004251,693.04233081277926
300,0.369654685,0.917963922,0.586421072,693.0623308137292
304,0.350214362,0.924017489,0.580908835,693.07233081420418
309,0.388946354,0.905580282,0.597886026,693.08233081467915
