_ID_,baroTemp,genFaultCode,hdwStatus,imuPeriodMs,imuTemp,insStatus,mcuTemp,navPeriodMs,reserved1,reserved2[0],reserved2[1],reserved2[2],reserved2[3],timeOfWeekMs
2726,40.4807549,0,91,1,42.7031212,432215543,0,4,0,0,0,0,0,399214581
8407,40.1972542,0,90,1,42.2732086,432215415,0,4,0,0,0,0,0,399224565
14179,40.0352554,0,91,1,42.0952682,432215543,0,4,0,0,0,0,0,399234601
19960,39.772007,0,91,1,41.8431625,432215511,0,4,0,0,0,0,0,399244585
25721,39.2252579,0,91,1,41.3954849,432215511,0,4,0,0,0,0,0,399254570
31415,38.6683922,0,91,1,40.8915634,432215511,0,4,0,0,0,0,0,399264553
37214,37.9495316,0,91,1,40.4875259,432215511,0,4,0,0,0,0,0,399274590
42995,37.853344,0,91,1,40.0985184,432215511,0,4,0,0,0,0,0,399284574
48749,37.1901779,0,83,1,39.5703278,432215511,0,4,0,0,0,0,0,399294558
54584,37.1496773,0,91,1,39.2599106,432215511,0,4,0,0,0,0,0,399304594
60283,36.8965607,0,91,1,38.9729004,432215511,0,4,0,0,0,0,0,399314578
66076,36.1777153,0,91,1,38.5321121,432215511,0,4,0,0,0,0,0,399324562
71859,36.1220322,0,83,1,38.3475952,432215511,0,4,0,0,0,0,0,399334598
77620,35.6714897,0,91,1,38.0811462,432215511,0,4,0,0,0,0,0,399344582
83350,35.9701614,0,80,1,38.0134773,432215543,0,4,0,0,0,0,0,399354570
89082,35.8031082,0,91,1,37.822773,432215543,0,4,0,0,0,0,0,399364554
94893,35.7980461,0,91,1,37.6731148,432215511,0,4,0,0,0,0,0,399374590
100626,35.7170486,0,91,1,37.5551834,428021207,0,4,0,0,0,0,0,399384576
