ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
304812800,0,3098528.320000,1011152.710000,5464109.840000,59.352969,18.073225,30.502000,6.259000,2.236000,3.126000,1.560000,0.000000
304813000,0,3098528.720000,1011152.760000,5464109.960000,59.352966,18.073223,30.805000,6.563000,2.118000,2.983000,1.560000,0.000000
304813200,0,3098528.930000,1011152.730000,5464109.990000,59.352965,18.073222,30.931000,6.688000,2.023000,2.868000,1.560000,0.000000
304813400,0,3098529.180000,1011152.740000,5464110.030000,59.352963,18.073220,31.082000,6.840000,1.936000,2.768000,1.650000,0.000000
304813600,0,3098529.330000,1011152.690000,5464110.050000,59.352962,18.073219,31.169000,6.926000,1.858000,2.677000,1.650000,0.000000
304813800,0,3098529.470000,1011152.660000,5464110.100000,59.352962,18.073217,31.274000,7.031000,1.787000,2.591000,1.650000,0.000000
304814000,0,3098529.680000,1011152.570000,5464110.120000,59.352960,18.073215,31.381000,7.138000,1.723000,2.518000,1.650000,0.000000
304814200,0,3098529.770000,1011152.540000,5464110.120000,59.352960,18.073214,31.422000,7.179000,1.666000,2.448000,1.560000,0.000000
304814400,0,3098529.730000,1011152.520000,5464110.100000,59.352960,18.073214,31.377000,7.134000,1.615000,2.386000,1.560000,0.000000
304814600,0,3098529.710000,1011152.480000,5464110.050000,59.352960,18.073213,31.319000,7.076000,1.569000,2.331000,1.560000,0.000000
304814800,0,3098529.800000,1011152.410000,5464110.040000,59.352960,18.073211,31.338000,7.095000,1.525000,2.274000,1.560000,0.000000
304815000,0,3098529.810000,1011152.380000,5464110.000000,59.352959,18.073211,31.307000,7.064000,1.485000,2.222000,1.560000,304801.738588
304815200,0,3098529.860000,1011152.310000,5464109.960000,59.352959,18.073210,31.289000,7.046000,1.447000,2.173000,1.560000,304801.738588
304815400,0,3098529.900000,1011152.290000,5464109.910000,59.352958,18.073209,31.261000,7.018000,1.414000,2.130000,1.560000,304801.738588
304815600,0,3098529.870000,1011152.270000,5464109.820000,59.352958,18.073209,31.169000,6.926000,1.384000,2.090000,1.560000,304801.738588
304815800,0,3098529.840000,1011152.270000,5464109.750000,59.352958,18.073209,31.090000,6.847000,1.354000,2.049000,1.560000,304801.738588
304816000,0,3098529.860000,1011152.260000,5464109.670000,59.352958,18.073209,31.033000,6.790000,1.326000,2.010000,1.560000,304801.738649
304816200,0,3098529.870000,1011152.260000,5464109.610000,59.352957,18.073208,30.987000,6.744000,1.301000,1.973000,1.560000,304801.738649
304816400,0,3098529.850000,1011152.260000,5464109.530000,59.352957,18.073209,30.901000,6.658000,1.277000,1.937000,1.560000,304801.738649
304816600,0,3098529.820000,1011152.250000,5464109.430000,59.352957,18.073209,30.800000,6.557000,1.254000,1.903000,1.560000,304801.738649
304816800,0,3098529.790000,1011152.230000,5464109.340000,59.352957,18.073208,30.710000,6.467000,1.233000,1.872000,1.560000,304801.738649
304817000,0,3098529.780000,1011152.230000,5464109.260000,59.352957,18.073208,30.638000,6.395000,1.214000,1.843000,1.560000,304801.738619
304817200,0,3098529.770000,1011152.220000,5464109.190000,59.352956,18.073208,30.564000,6.321000,1.195000,1.814000,1.560000,304801.738619
304817400,0,3098529.760000,1011152.220000,5464109.120000,59.352956,18.073208,30.506000,6.263000,1.176000,1.785000,1.560000,304801.738619
304817600,0,3098529.740000,1011152.220000,5464109.050000,59.352956,18.073209,30.433000,6.190000,1.159000,1.759000,1.560000,304801.738619
304817800,0,3098529.720000,1011152.220000,5464108.970000,59.352956,18.073209,30.355000,6.112000,1.143000,1.734000,1.560000,304801.738619
304818000,0,3098529.700000,1011152.210000,5464108.890000,59.352956,18.073209,30.275000,6.032000,1.129000,1.708000,1.560000,304801.738680
304818200,0,3098529.690000,1011152.200000,5464108.810000,59.352955,18.073208,30.196000,5.953000,1.114000,1.683000,1.550000,304801.738680
304818400,0,3098529.670000,1011152.180000,5464108.710000,59.352955,18.073208,30.099000,5.856000,1.100000,1.656000,1.550000,304801.738680
304818600,0,3098529.650000,1011152.170000,5464108.600000,59.352955,18.073208,29.997000,5.754000,1.087000,1.632000,1.550000,304801.738680
304818800,0,3098529.630000,1011152.150000,5464108.510000,59.352954,18.073208,29.907000,5.664000,1.075000,1.608000,1.550000,304801.738680
304819000,0,3098529.620000,1011152.130000,5464108.440000,59.352954,18.073208,29.834000,5.591000,1.064000,1.587000,1.550000,304801.738649
304819200,0,3098529.610000,1011152.110000,5464108.360000,59.352954,18.073207,29.758000,5.515000,1.053000,1.567000,1.550000,304801.738649
304819400,0,3098529.600000,1011152.090000,5464108.280000,59.352954,18.073207,29.678000,5.435000,1.041000,1.548000,1.550000,304801.738649
304819600,0,3098529.580000,1011152.060000,5464108.200000,59.352954,18.073207,29.599000,5.356000,1.031000,1.529000,1.550000,304801.738649
