_ID_,hdwStatus,insStatus,lla[0],lla[1],lla[2],qn2b[0],qn2b[1],qn2b[2],qn2b[3],timeOfWeek,uvw[0],uvw[1],uvw[2],week
1,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936908007,-0.0160240568,0.0135999266,-0.34894383,1521.3838984416798,0,0,0,0
64,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936923862,-0.016028339,0.0135870259,-0.34890148,1521.4839655803517,0,0,0,0
118,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.93691951,-0.0160406549,0.0135966819,-0.348912209,1521.5839411662892,0,0,0,0
177,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.93693614,-0.0160281472,0.0136086913,-0.348867625,1521.6839167522267,0,0,0,0
234,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936921656,-0.016028963,0.0136186751,-0.348905981,1521.7838923381642,0,0,0,0
290,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936928332,-0.0160380714,0.013639614,-0.348886609,1521.883959476836,0,0,0,0
348,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936918497,-0.0160244014,0.0135901747,-0.348915994,1521.9839350627735,0,0,0,0
407,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936923921,-0.0159482006,0.013553136,-0.34890613,1522.083910648711,0,0,0,0
464,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936929882,-0.0159253366,0.0135488734,-0.348891169,1522.1838862346485,0,0,0,0
525,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936937571,-0.015930051,0.0135844909,-0.348869264,1522.283861820586,0,0,0,0
583,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936940372,-0.015942689,0.0135923848,-0.3488608,1522.3839289592579,0,0,0,0
644,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936940551,-0.0159489475,0.0135833938,-0.348860383,1522.4839045451954,0,0,0,0
701,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936962783,-0.0159977954,0.0135910651,-0.348798156,1522.5838801311329,0,0,0,0
761,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936966002,-0.0159952734,0.0135981133,-0.348789006,1522.6838557170704,0,0,0,0
819,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936936438,-0.0160089936,0.0136095025,-0.348867595,1522.7839228557423,0,0,0,0
876,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936945558,-0.0160248633,0.0136084184,-0.348842442,1522.8838984416798,0,0,0,0
932,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936955512,-0.0160530861,0.0136245182,-0.348813921,1522.9838740276173,0,0,0,0
991,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936951697,-0.0160183813,0.0136109516,-0.34882617,1523.0838496135548,0,0,0,0
1049,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936939359,-0.0160345901,0.0136307674,-0.34885788,1523.1839167522267,0,0,0,0
1109,1114112,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936974704,-0.0160578974,0.0136415167,-0.34876138,1523.2838923381642,0,0,0,0
1164,1114120,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936972857,-0.0159751661,0.0136522455,-0.348769426,1523.3838679241017,0,0,0,0
1221,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.936977684,-0.0160415061,0.01367399,-0.348752856,1523.4838435100392,0,0,0,0
1281,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.936995924,-0.0155216213,0.0135218343,-0.348733515,1523.583910648711,0,0,0,0
1336,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.936999679,-0.0147164287,0.0132055515,-0.348770291,1523.6838862346485,0,0,0,0
1392,1114115,415304704,59.348150100000012,18.068786300000003,51.793000000528991,0.936999917,-0.0150105814,0.0132407034,-0.348755449,1523.783861820586,0,0,0,0
1450,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.936977148,-0.014582024,0.0129949208,-0.3488442,1523.8838374065235,0,0,0,0
1507,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.936947823,-0.0128436144,0.0123376073,-0.349015266,1523.9839045451954,0,0,0,0
1560,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.936877668,-0.0125367464,0.0121998237,-0.349219412,1524.0838801311329,0,0,0,0
1618,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.93689239,-0.0103011718,0.0114080543,-0.349279791,1524.1838557170704,0,0,0,0
1671,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.936979353,-0.00760984793,0.0104914391,-0.349144191,1524.2838313030079,0,0,0,0
1729,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.937119126,-0.00417922996,0.00947957207,-0.348856091,1524.3838068889454,0,0,0,0
1783,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.937270403,-0.00184796611,0.00943501666,-0.348470628,1524.4838740276173,0,0,0,0
1840,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.936897874,-0.00115003332,0.0113646686,-0.349416494,1524.5838496135548,0,0,0,0
1894,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.935733259,1.84071378e-05,0.0139664505,-0.352431744,1524.6838251994923,0,0,0,0
1951,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.934483469,0.00301417359,0.00952124409,-0.355866313,1524.7838007854298,0,0,0,0
2008,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.933933616,0.00239356351,-0.000947845692,-0.357437253,1524.8838679241017,0,0,0,0
2067,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.933589756,-0.0041926424,-0.00774260657,-0.358235478,1524.9838435100392,0,0,0,0
2121,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.933436692,-0.0119108548,-0.00687089842,-0.358478576,1525.0838190959767,0,0,0,0
2180,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.933943927,-0.0149988737,-0.00485056546,-0.357071817,1525.1837946819142,0,0,0,0
2237,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.93466717,-0.017817568,-0.00539655983,-0.355035961,1525.283861820586,0,0,0,0
2286,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.934958816,-0.0241636615,-0.00703875069,-0.353862286,1525.3838374065235,0,0,0,0
2344,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.934855759,-0.0286959689,-0.010690351,-0.353704602,1525.483812992461,0,0,0,0
2400,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.934498787,-0.0313794278,-0.0144435102,-0.354286194,1525.5837885783985,0,0,0,0
2455,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.933953047,-0.0365862325,-0.0142716235,-0.355231792,1525.6838557170704,0,0,0,0
2514,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.933266401,-0.0425377265,-0.0105360793,-0.356501281,1525.7838313030079,0,0,0,0
2571,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.932718277,-0.0456362627,-0.00640209252,-0.357649058,1525.8838068889454,0,0,0,0
2627,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.932976127,-0.0452205576,-0.00481186621,-0.357053727,1525.9837824748829,0,0,0,0
2682,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.933299601,-0.0450457856,-0.00547522912,-0.356220156,1526.0838496135548,0,0,0,0
2739,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.933112204,-0.049187012,-0.00600454444,-0.35615477,1526.1838251994923,0,0,0,0
2794,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.932715893,-0.0527115464,-0.00603606459,-0.356687903,1526.2838007854298,0,0,0,0
2851,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.932374954,-0.0575146154,-0.00488461927,-0.356854379,1526.3837763713673,0,0,0,0
2907,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.932141542,-0.062585704,-0.00458008749,-0.356614798,1526.4838435100392,0,0,0,0
2958,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.931739509,-0.0704463348,-0.0054898737,-0.356186539,1526.5838190959767,0,0,0,0
3015,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.931866944,-0.0768453702,-0.00812325068,-0.354475528,1526.6837946819142,0,0,0,0
3070,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.932431698,-0.0794664025,-0.0113177225,-0.352318287,1526.7837702678517,0,0,0,0
3128,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.932365239,-0.0821356997,-0.0119656995,-0.351860195,1526.8837458537892,0,0,0,0
3185,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.931240499,-0.0887165889,-0.0065156403,-0.353380829,1526.983812992461,0,0,0,0
3241,1114115,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.930142343,-0.0914307088,0.000901667401,-0.355633229,1527.0837885783985,0,0,0,0
3297,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.929739714,-0.0910867825,0.00744708301,-0.356695741,1527.183764164336,0,0,0,0
3354,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.930863261,-0.0791158676,0.0164207257,-0.356320828,1527.2837397502735,0,0,0,0
3411,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.931655586,-0.0700467601,0.0270941872,-0.35549587,1527.3838068889454,0,0,0,0
3470,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.932060421,-0.0661581755,0.0302484166,-0.35492456,1527.4837824748829,0,0,0,0
3529,1114123,415302656,59.348150100000012,18.068786300000003,51.793000000528991,0.932848871,-0.0620152988,0.02464935,-0.354033113,1527.5837580608204,0,0,0,0
