_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
61,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1519200,0,3762545.5,0
173,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1519400,0,3762550.75,0
287,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1519600,0,3762555.5,0
403,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1519800,0,3762560.75,0
521,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1520000,0,3762565.5,0
640,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1520200,0,3762570.5,0
757,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1520400,0,3762575.5,0
872,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1520600,0,3762580.5,0
988,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1520800,0,3762585.5,0
1106,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1521000,0,3762590.5,0
1218,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1521200,0,3762595.5,0
1333,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1521400,0,3762600.25,0
1447,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1521600,0,3762605.25,0
1557,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1521800,0,3762610,0
1668,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1522000,0,3762615.25,0
1780,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1522200,0,3762620,0
1891,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1522400,0,3762625.25,0
2005,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1522600,0,3762630,0
2118,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1522800,0,3762635.25,0
2234,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1523000,0,3762640,0
2341,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1523200,0,3762645.25,0
2452,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1523400,0,3762650.25,0
2568,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1523600,0,3762655,0
2679,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1523800,0,3762660,0
2791,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1524000,0,3762665,0
2903,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1524200,0,3762670,0
3011,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1524400,0,3762674.75,0
3124,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1524600,0,3762680,0
3237,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1524800,0,3762684.75,0
3350,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1525000,0,3762690,0
3466,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1525200,0,3762694.75,0
3578,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1525400,0,3762700,0
3694,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1525600,0,3762704.75,0
3807,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1525800,0,3762710,0
3923,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1526000,0,3762714.75,0
4037,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1526200,0,3762720,0
4148,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1526400,0,3762724.75,0
4265,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1526600,0,3762730,0
4379,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1526800,0,3762735,0
4493,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1527000,0,3762740,0
4609,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1527200,0,3762745,0
4724,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1527400,0,3762749.75,0
4835,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1527600,0,3762755,0
4954,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1527800,0,3762759.5,0
5075,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1528000,0,3762764.75,0
5190,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1528200,0,3762769.5,0
5300,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1528400,0,3762775,0
5415,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1528600,0,3762779.75,0
5527,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1528800,0,3762785,0
5644,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1529000,0,3762789.75,0
5756,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1529200,0,3762795,0
5866,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1529400,0,3762800,0
5979,0,6378137,0,0,4294967.5,0,0,0,0,99.9899979,1073741824,1529600,0,3762805,0
