_ID_,bar,barTemp,humidity,mslBar,time
7,100.346031,50.8407593,5.1494031,81.8892517,1521.3928984421073
17,100.343292,50.8407593,5.13753319,82.1192169,1521.4049655765994
22,100.347115,50.830719,5.41134405,81.7978745,1521.4129655769793
27,100.351517,50.8407593,5.1494031,81.4278107,1521.4209655773593
32,100.3414,50.8457832,5.00060701,82.2786255,1521.4289655777393
39,100.348778,50.8407593,5.46394491,81.6582718,1521.4369655781193
42,100.344986,50.8508034,5.00612545,81.9770737,1521.4449655784993
49,100.348778,50.8407593,4.84670401,81.6582718,1521.4569655790692
52,100.346878,50.8457832,5.2320776,81.8181839,1521.4649655794492
57,100.348778,50.8407593,5.131598,81.6582718,1521.4729655798292
69,100.348541,50.8558235,5.0888195,81.6780701,1521.4889655805891
76,100.351517,50.8407593,5.20281792,81.4278107,1521.4969411621569
81,100.342445,50.8357391,5.19729805,82.1902924,1521.5089411627268
85,100.340553,50.8407593,5.22062254,82.3497009,1521.5169411631068
88,100.345795,50.8558235,5.27874422,81.9090424,1521.5249411634868
92,100.340553,50.8407593,5.07818222,82.3497009,1521.5329411638668
97,100.346031,50.8407593,5.16720819,81.8892517,1521.5409411642468
102,100.345184,50.8357391,5.15575361,81.9603195,1521.5489411646267
107,100.348778,50.8407593,5.11972761,81.6582718,1521.5609411651967
112,100.340553,50.8407593,5.04257107,82.3497009,1521.5689411655767
116,100.343056,50.8558235,5.29654932,82.1390228,1521.5769411659567
120,100.346878,50.8457832,5.16085768,81.8181839,1521.5849411663366
124,100.343292,50.8407593,5.22655725,82.1192169,1521.5929411667166
130,100.348778,50.8407593,5.41053391,81.6582718,1521.6009167482844
136,100.345184,50.8357391,4.97770071,81.9603195,1521.6129167488543
141,100.349617,50.8457832,5.27955675,81.5877151,1521.6209167492343
146,100.348778,50.8407593,4.95947742,81.6582718,1521.6289167496143
151,100.349617,50.8457832,5.01247787,81.5877151,1521.6369167499943
154,100.346031,50.8407593,5.05444145,81.8892517,1521.6449167503743
159,100.339706,50.8357391,5.2269721,82.4207764,1521.6529167507542
165,100.340553,50.8407593,5.08411741,82.3497009,1521.6649167513242
170,100.352364,50.8457832,5.32110071,81.3567429,1521.6729167517042
176,100.349617,50.8457832,5.05995989,81.5877151,1521.6809167520842
182,100.346031,50.8407593,5.18501282,81.8892517,1521.6889167524641
190,100.345184,50.8357391,4.95395947,81.9603195,1521.6968923340319
193,100.349617,50.8457832,5.03028393,81.5877151,1521.7048923344119
200,100.337807,50.8407593,5.20875263,82.5806961,1521.7168923349818
203,100.343292,50.8407593,5.07818222,82.1192169,1521.7248923353618
208,100.346031,50.8407593,5.20875263,81.8892517,1521.7328923357418
212,100.346878,50.8457832,5.00654268,81.8181839,1521.7408923361218
221,100.347931,50.8357391,4.95395947,81.7293396,1521.7568923368817
227,100.348541,50.8558235,5.07101345,81.6780701,1521.7688923374517
232,100.350464,50.8508034,5.46312046,81.5166473,1521.7768923378317
236,100.349617,50.8457832,5.16679239,81.5877151,1521.7848923382116
241,100.335915,50.8457832,4.97686577,82.7396088,1521.7928923385916
246,100.344139,50.8457832,4.89970493,82.0481491,1521.8009594728937
251,100.3414,50.8457832,5.48727083,82.2786255,1521.8129594734637
256,100.340553,50.8407593,5.18501282,82.3497009,1521.8209594738437
261,100.344139,50.8457832,5.04215431,82.0481491,1521.8289594742237
272,100.349617,50.8457832,5.23801231,81.5877151,1521.8529594753636
278,100.343292,50.8407593,5.20281792,82.1192169,1521.8649594759336
283,100.3414,50.8457832,5.0480895,82.2786255,1521.8729594763136
295,100.346878,50.8457832,5.37451315,81.8181839,1521.8889594770735
303,100.346031,50.8407593,5.52922344,81.8892517,1521.8969350586412
306,100.341164,50.8608437,5.12995052,82.2984238,1521.9049350590212
316,100.3395,50.8508034,5.00018978,82.4380341,1521.9249350599712
321,100.3414,50.8457832,5.39825201,82.2786255,1521.9329350603512
326,100.344139,50.8457832,5.30329609,82.0481491,1521.9409350607311
331,100.346642,50.8608437,5.19523811,81.8379745,1521.9489350611111
336,100.344139,50.8457832,4.98873663,82.0481491,1521.9569350614911
342,100.340553,50.8407593,4.98915386,82.3497009,1521.9689350620611
346,100.344139,50.8457832,5.22020769,82.0481491,1521.976935062441
350,100.345558,50.8708839,4.84422255,81.9288483,1521.984935062821
355,100.343292,50.8407593,5.06037664,82.1192169,1521.992935063201
361,100.346878,50.8457832,5.04215431,81.8181839,1522.0009106447687
366,100.342239,50.8508034,5.23166275,82.2080612,1522.0089106451487
372,100.347725,50.8508034,4.88147974,81.7466049,1522.0209106457187
377,100.348541,50.8558235,4.92262697,81.6780701,1522.0289106460987
381,100.3414,50.8457832,5.20833778,82.2786255,1522.0369106464786
384,100.344139,50.8457832,5.07183027,82.0481491,1522.0449106468586
389,100.338654,50.8457832,5.27955675,82.5091095,1522.0529106472386
394,100.346878,50.8457832,5.27362204,81.8181839,1522.0609106476186
400,100.347725,50.8508034,5.26727247,81.7466049,1522.0729106481886
406,100.341164,50.8608437,5.07059717,82.2984238,1522.0809106485685
411,100.340553,50.8407593,5.03663588,82.3497009,1522.0889106489485
419,100.342239,50.8508034,5.19011736,82.2080612,1522.0968862305162
422,100.345795,50.8558235,4.97011137,81.9090424,1522.1048862308962
427,100.343056,50.8558235,5.21345854,82.1390228,1522.1128862312762
433,100.3414,50.8457832,5.24988222,82.2786255,1522.1248862318462
442,100.348541,50.8558235,4.99978876,81.6780701,1522.1408862326061
447,100.338654,50.8457832,5.14898729,82.5091095,1522.1488862329861
451,100.346031,50.8407593,5.10192251,81.8892517,1522.1568862333661
457,100.344139,50.8457832,4.94718885,82.0481491,1522.1688862339361
462,100.351044,50.8708839,5.12913465,81.4679108,1522.176886234316
466,100.346642,50.8608437,4.92814445,81.8379745,1522.184886234696
471,100.349388,50.8608437,5.09433842,81.6069946,1522.192886235076
477,100.342239,50.8508034,5.19011736,82.2080612,1522.2008618166437
482,100.345795,50.8558235,5.17784786,81.9090424,1522.2088618170237
488,100.3395,50.8508034,5.05954361,82.4380341,1522.2208618175937
493,100.344139,50.8457832,4.94718885,82.0481491,1522.2288618179737
498,100.343056,50.8558235,4.99978876,82.1390228,1522.2368618183536
501,100.343903,50.8608437,4.93408012,82.0679474,1522.2448618187336
506,100.3414,50.8457832,5.08370066,82.2786255,1522.2528618191136
511,100.345795,50.8558235,5.10068989,81.9090424,1522.2608618194936
517,100.346878,50.8457832,5.14898729,81.8181839,1522.2728618200636
524,100.345795,50.8558235,4.93449783,81.9090424,1522.2808618204435
530,100.346642,50.8608437,5.15962696,81.8379745,1522.2888618208235
537,100.345795,50.8558235,5.21345854,81.9090424,1522.2969289551256
