Tow, numSats, gnssID, svID, elev, azim, prRes, CNO
296121600,36,0,1,10,51,0,0,0,10,20,324,34,37,0,11,16,38,2,42,0,12,3,224,0,0,0,13,44,168,8,43,0,15,56,223,28,33,0,17,37,118,1,46,0,18,12,25,-35,34,0,19,21,144,-45,31,0,20,22,294,-29,38,0,24,44,273,59,38,0,28,45,66,-19,44,0,30,7,100,-1325,15,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-3,37,2,3,25,188,-460,21,2,7,28,313,67,36,2,8,51,249,-16,36,2,11,14,96,0,0,2,12,21,43,-11,37,2,24,11,69,11,26,2,25,61,80,50,35,2,30,10,244,0,0,2,33,7,356,-638,21,5,3,13,44,2,42,6,1,18,199,-583,25,6,2,53,268,-100,35,6,3,26,332,91,30,6,10,18,72,4,37,6,11,74,57,-110,34,6,12,55,265,-33,37,6,19,10,355,-16,26,6,20,34,49,-46,34,6,21,20,111,-42,42,6,255,-91,0,0,39,
296121800,36,0,1,10,51,0,0,0,10,20,324,33,38,0,11,16,38,2,42,0,12,3,224,0,0,0,13,44,168,7,43,0,15,56,223,31,33,0,17,37,118,0,46,0,18,12,25,-26,34,0,19,21,144,-47,31,0,20,22,294,-32,38,0,24,44,273,56,39,0,28,45,66,-20,44,0,30,7,100,-1346,16,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-5,37,2,3,25,188,-447,21,2,7,28,313,66,36,2,8,51,249,-17,36,2,11,14,96,0,0,2,12,21,43,-10,37,2,24,11,69,1,25,2,25,61,80,48,35,2,30,10,244,0,0,2,33,7,356,-643,20,5,3,13,44,2,42,6,1,18,199,-583,25,6,2,53,268,-99,35,6,3,26,332,124,30,6,10,18,72,6,37,6,11,74,57,-110,34,6,12,55,265,-34,37,6,19,10,355,-3,26,6,20,34,49,-44,34,6,21,20,111,-40,42,6,255,-91,0,0,39,
296122000,36,0,1,10,51,0,0,0,10,20,324,35,37,0,11,16,38,2,42,0,12,3,224,0,0,0,13,44,168,7,43,0,15,56,223,21,33,0,17,37,118,-2,46,0,18,12,25,-22,34,0,19,21,144,-53,31,0,20,22,294,-33,38,0,24,44,273,54,39,0,28,45,66,-20,44,0,30,7,100,-1367,16,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-6,37,2,3,25,188,-436,21,2,7,28,313,65,36,2,8,51,249,-18,36,2,11,14,96,0,0,2,12,21,43,-8,37,2,24,11,69,-11,25,2,25,61,80,48,35,2,30,10,244,0,0,2,33,7,356,-646,20,5,3,13,44,2,42,6,1,18,199,-580,25,6,2,53,268,-98,35,6,3,26,332,124,30,6,10,18,72,7,37,6,11,74,57,-110,34,6,12,55,265,-33,37,6,19,10,355,0,25,6,20,34,49,-42,34,6,21,20,111,-39,42,6,255,-91,0,0,39,
296122200,36,0,1,10,51,0,0,0,10,20,324,34,37,0,11,16,38,3,41,0,12,3,224,0,0,0,13,44,168,8,43,0,15,56,223,19,33,0,17,37,118,-4,46,0,18,12,25,-20,34,0,19,21,144,-45,31,0,20,22,294,-34,38,0,24,44,273,52,39,0,28,45,66,-21,44,0,30,7,100,-1374,16,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-7,37,2,3,25,188,-425,21,2,7,28,313,66,36,2,8,51,249,-20,36,2,11,14,96,0,0,2,12,21,43,-9,37,2,24,11,69,-22,25,2,25,61,80,46,35,2,30,10,244,0,0,2,33,7,356,-655,20,5,3,13,44,2,42,6,1,18,199,-580,26,6,2,53,268,-98,35,6,3,26,332,139,30,6,10,18,72,7,37,6,11,74,57,-109,34,6,12,55,265,-33,37,6,19,10,355,-5,25,6,20,34,49,-41,34,6,21,20,111,-37,42,6,255,-91,0,0,39,
296122400,36,0,1,10,51,0,0,0,10,20,324,35,37,0,11,16,38,3,41,0,12,3,224,0,0,0,13,44,168,9,43,0,15,56,223,16,33,0,17,37,118,-4,46,0,18,12,25,-17,34,0,19,21,144,-33,31,0,20,22,294,-35,38,0,24,44,273,51,39,0,28,45,66,-21,44,0,30,7,100,-1384,17,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-7,37,2,3,25,188,-416,21,2,7,28,313,66,36,2,8,51,249,-22,36,2,11,14,96,0,0,2,12,21,43,-8,37,2,24,11,69,-26,25,2,25,61,80,46,35,2,30,10,244,0,0,2,33,7,356,-661,20,5,3,13,44,4,42,6,1,18,199,-585,26,6,2,53,268,-96,35,6,3,26,332,144,30,6,10,18,72,8,37,6,11,74,57,-108,34,6,12,55,265,-33,37,6,19,10,355,5,25,6,20,34,49,-39,34,6,21,20,111,-37,42,6,255,-91,0,0,39,
296122600,36,0,1,10,51,0,0,0,10,20,324,34,38,0,11,16,38,5,41,0,12,3,224,0,0,0,13,44,168,9,43,0,15,56,223,16,33,0,17,37,118,-5,46,0,18,12,25,-21,34,0,19,21,144,-24,31,0,20,22,294,-36,38,0,24,44,273,49,39,0,28,45,66,-21,44,0,30,7,100,-1397,17,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-6,37,2,3,25,188,-403,21,2,7,28,313,65,36,2,8,51,249,-23,36,2,11,14,96,0,0,2,12,21,43,-7,37,2,24,11,69,-38,25,2,25,61,80,44,35,2,30,10,244,0,0,2,33,7,356,-655,20,5,3,13,44,3,42,6,1,18,199,-593,25,6,2,53,268,-94,35,6,3,26,332,127,30,6,10,18,72,8,37,6,11,74,57,-108,34,6,12,55,265,-34,37,6,19,10,355,24,25,6,20,34,49,-37,34,6,21,20,111,-35,41,6,255,-91,0,0,39,
296122800,36,0,1,10,51,0,0,0,10,20,324,34,38,0,11,16,38,5,41,0,12,3,224,0,0,0,13,44,168,11,43,0,15,56,223,13,33,0,17,37,118,-6,46,0,18,12,25,-21,34,0,19,21,144,-14,31,0,20,22,294,-38,38,0,24,44,273,46,39,0,28,45,66,-21,44,0,30,7,100,-1408,18,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-7,37,2,3,25,188,-388,21,2,7,28,313,64,36,2,8,51,249,-24,36,2,11,14,96,0,0,2,12,21,43,-7,37,2,24,11,69,-43,26,2,25,61,80,42,35,2,30,10,244,0,0,2,33,7,356,-660,20,5,3,13,44,3,42,6,1,18,199,-601,25,6,2,53,268,-93,35,6,3,26,332,106,30,6,10,18,72,8,37,6,11,74,57,-106,33,6,12,55,265,-32,36,6,19,10,355,26,24,6,20,34,49,-37,33,6,21,20,111,-34,41,6,255,-91,0,0,39,
296123000,36,0,1,10,51,0,0,0,10,20,324,34,38,0,11,16,38,6,41,0,12,3,224,0,0,0,13,44,168,12,43,0,15,56,223,14,33,0,17,37,118,-7,46,0,18,12,25,-22,34,0,19,21,144,-13,31,0,20,22,294,-39,38,0,24,44,273,44,39,0,28,45,66,-23,44,0,30,7,100,-1417,18,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-8,37,2,3,25,188,-384,21,2,7,28,313,65,36,2,8,51,249,-26,36,2,11,14,96,0,0,2,12,21,43,-5,37,2,24,11,69,-50,25,2,25,61,80,42,35,2,30,10,244,0,0,2,33,7,356,-651,20,5,3,13,44,3,42,6,1,18,199,-608,25,6,2,53,268,-93,35,6,3,26,332,83,30,6,10,18,72,9,37,6,11,74,57,-105,33,6,12,55,265,-32,36,6,19,10,355,35,24,6,20,34,49,-35,33,6,21,20,111,-32,41,6,255,-91,0,0,39,
296123200,36,0,1,10,51,0,0,0,10,20,324,33,38,0,11,16,38,5,41,0,12,3,224,0,0,0,13,44,168,13,43,0,15,56,223,12,33,0,17,37,118,-8,46,0,18,12,25,-14,34,0,19,21,144,-14,31,0,20,22,294,-40,38,0,24,44,273,43,39,0,28,45,66,-23,44,0,30,7,100,-1429,17,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-8,37,2,3,25,188,-372,21,2,7,28,313,64,36,2,8,51,249,-27,36,2,11,14,96,0,0,2,12,21,43,-4,37,2,24,11,69,-50,25,2,25,61,80,43,35,2,30,10,244,0,0,2,33,7,356,-648,21,5,3,13,44,4,42,6,1,18,199,-624,25,6,2,53,268,-92,35,6,3,26,332,81,30,6,10,18,72,9,37,6,11,74,57,-103,33,6,12,55,265,-31,36,6,19,10,355,38,24,6,20,34,49,-33,33,6,21,20,111,-31,41,6,255,-91,0,0,39,
296123400,36,0,1,10,51,0,0,0,10,20,324,33,38,0,11,16,38,5,41,0,12,3,224,0,0,0,13,44,168,14,43,0,15,56,223,11,34,0,17,37,118,-8,46,0,18,12,25,-26,35,0,19,21,144,-5,31,0,20,22,294,-41,38,0,24,44,273,41,39,0,28,45,66,-24,44,0,30,7,100,-1448,17,1,123,22,164,0,31,1,136,22,195,0,0,2,2,60,234,-8,36,2,3,25,188,-359,22,2,7,28,313,62,36,2,8,51,249,-28,36,2,11,14,96,0,0,2,12,21,43,-2,37,2,24,11,69,-55,25,2,25,61,80,44,35,2,30,10,244,0,0,2,33,7,356,-658,21,5,3,13,44,5,42,6,1,18,199,-630,25,6,2,53,268,-91,35,6,3,26,332,71,30,6,10,18,72,10,37,6,11,74,57,-103,32,6,12,55,265,-31,36,6,19,10,355,60,24,6,20,34,49,-31,33,6,21,20,111,-29,41,6,255,-91,0,0,39,
