_ID_,bar,barTemp,humidity,mslBar,time
42,101.285378,47.3255539,1.70046723,3.29865456,526.93984570540488
48,101.278198,47.3154259,1.28500438,3.89667392,526.95184570597485
53,101.282646,47.3255539,1.34274757,3.52649069,526.95984570635483
57,101.280922,47.3154259,1.46093571,3.66983414,526.96784570673481
62,101.282646,47.3255539,1.19026577,3.52649069,526.97584570711479
70,101.285545,47.3103638,1.31476057,3.28507543,526.9918212890625
76,101.283653,47.3154259,1.16771185,3.44249725,527.00382128963247
81,101.286377,47.3154259,1.23808777,3.21566963,527.01182129001245
85,101.275467,47.3154259,1.44334304,4.12402296,527.01982129039243
90,101.285545,47.3103638,1.28543842,3.28507543,527.02782129077241
96,101.286377,47.3154259,1.12665856,3.21566963,527.03582129115239
103,101.28009,47.3103638,1.56692135,3.73924351,527.05182129191235
111,101.280922,47.3154259,1.60753846,3.66983414,527.06382129248232
116,101.282646,47.3255539,1.48349404,3.52649069,527.0718212928623
121,101.274635,47.3103638,0.833845437,4.19343615,527.07982129324228
126,101.28009,47.3103638,1.38513291,3.73924351,527.08782129362226
134,101.282646,47.3255539,1.00258672,3.52649069,527.09579687518999
137,101.273773,47.3053017,1.28002536,4.26536465,527.10379687556997
144,101.279228,47.3053017,1.25656772,3.81116819,527.11579687613994
155,101.285545,47.3103638,1.37340426,3.28507543,527.13979687727988
160,101.286377,47.3154259,1.05628037,3.21566963,527.15579687803984
169,101.28009,47.3103638,0.763462007,3.73924351,527.17579687898979
172,101.276505,47.3053017,1.27416098,4.03801203,527.18379687936977
178,101.28109,47.3002396,1.30393422,3.65575123,527.19186401367188
184,101.276505,47.3053017,1.31521165,4.03801203,527.19986401405185
189,101.284683,47.3053017,1.32694042,3.35649323,527.20786401443183
194,101.279228,47.3053017,1.08649445,3.81116819,527.21586401481181
199,101.284683,47.3053017,1.11581802,3.35649323,527.22786401538178
204,101.280922,47.3154259,0.962440491,3.66983414,527.23586401576176
207,101.289101,47.3154259,1.36124241,2.98884797,527.24386401614174
212,101.285545,47.3103638,1.46723211,3.28507543,527.25186401652172
219,101.284683,47.3053017,1.30348301,3.35649323,527.2598640169017
224,101.28196,47.3053017,1.30934739,3.58332467,527.26786401728168
232,101.284683,47.3053017,1.13927674,3.35649323,527.28786401823163
240,101.285545,47.3103638,1.4555037,3.28507543,527.29583959979936
243,101.279228,47.3053017,1.11581802,3.81116819,527.30383960017934
247,101.282646,47.3255539,1.27823687,3.52649069,527.31183960055932
252,101.291,47.3103638,1.40858996,2.8304286,527.3198396009393
256,101.279228,47.3053017,1.43249679,3.81116819,527.32783960131928
263,101.28009,47.3103638,0.833845437,3.73924351,527.33983960188925
268,101.276505,47.3053017,1.60841691,4.03801203,527.34783960226923
273,101.279228,47.3053017,1.35039759,3.81116819,527.35583960264921
276,101.28009,47.3103638,1.0567168,3.73924351,527.36383960302919
280,101.277367,47.3103638,1.42618275,3.9660852,527.37183960340917
285,101.282822,47.3103638,1.18574107,3.51190472,527.37983960378915
292,101.285545,47.3103638,1.3030318,3.28507543,527.39181518554688
298,101.285378,47.3255539,1.27823687,3.29865456,527.39981518592685
303,101.279228,47.3053017,1.60841691,3.81116819,527.40781518630683
308,101.284683,47.3053017,1.06890023,3.35649323,527.41581518668681
311,101.287415,47.3053017,1.08062971,3.12916493,527.42381518706679
315,101.282959,47.2951775,0.94664824,3.50033689,527.43181518744677
321,101.278366,47.3002396,1.49158692,3.88259077,527.43981518782675
329,101.279228,47.3053017,1.32694042,3.81116819,527.45181518839672
334,101.282959,47.2951775,1.32784224,3.50033689,527.4598151887767
338,101.291,47.3103638,1.3030318,2.8304286,527.46781518915668
343,101.284683,47.3053017,1.40904009,3.35649323,527.47581518953666
346,101.279228,47.3053017,1.43249679,3.81116819,527.48381518991664
354,101.285545,47.3103638,0.927687705,3.28507543,527.49179077148438
359,101.274635,47.3103638,1.15641785,4.19343615,527.50379077205434
364,101.280922,47.3154259,1.36124241,3.66983414,527.51179077243432
369,101.284683,47.3053017,1.25656772,3.35649323,527.5197907728143
374,101.279228,47.3053017,1.13927674,3.81116819,527.52779077319428
381,101.28196,47.3053017,1.37385476,3.58332467,527.54379077395424
386,101.284683,47.3053017,1.47940969,3.35649323,527.55179077433422
392,101.28196,47.3053017,1.12754738,3.58332467,527.56379077490419
397,101.285545,47.3103638,1.12709427,3.28507543,527.57179077528417
402,101.279228,47.3053017,1.70223749,3.81116819,527.57979077566415
407,101.284683,47.3053017,1.05717075,3.35649323,527.58779077604413
