_ID_,baroTemp,genFaultCode,hdwStatus,imuPeriodMs,imuTemp,insStatus,mcuTemp,navPeriodMs,reserved1,reserved2[0],reserved2[1],reserved2[2],reserved2[3],timeOfWeekMs
1280,47.8672867,0,0,1,49.435997,402983953,0,4,0,0,0,0,0,440052
6684,47.8419724,0,3,1,49.4247513,402983953,0,4,0,0,0,0,0,450088
21837,48.641922,0,0,1,50.2177734,402983953,0,4,0,0,0,0,0,490075
27223,48.7988739,0,0,1,50.3735809,411370513,0,4,0,0,0,0,0,500059
32877,48.900135,0,0,1,50.483593,411370513,0,4,0,0,0,0,0,510058
38613,48.8849449,0,0,1,50.4817581,411370513,0,4,0,0,0,0,0,520094
44282,48.9963303,0,0,1,50.5631332,411370513,0,4,0,0,0,0,0,530078
49930,49.0722771,0,0,1,50.6629524,402983953,0,4,0,0,0,0,0,540093
55544,49.1279716,0,0,1,50.7223434,402983953,0,4,0,0,0,0,0,550091
61179,49.0975914,0,0,1,50.718605,402983953,0,4,0,0,0,0,0,560075
66817,49.3608704,0,1,1,50.9535408,411370513,0,4,0,0,0,0,0,570074
72464,49.4570656,0,0,1,51.0556145,411370513,0,4,0,0,0,0,0,580073
78102,49.5076981,0,0,1,51.1269913,411370513,0,4,0,0,0,0,0,590060
83706,49.5127602,0,0,1,51.1377411,402983953,0,4,0,0,0,0,0,600052
89351,49.5583267,0,2,1,51.1783066,411370513,0,4,0,0,0,0,0,610051
95020,49.5988312,0,0,1,51.2029839,402983953,0,4,0,0,0,0,0,620067
100674,49.6241493,0,11,1,51.2318726,402983953,0,4,0,0,0,0,0,630063
106388,49.7304726,0,0,1,51.3382912,411370513,0,4,0,0,0,0,0,640101
112056,49.7254105,0,0,1,51.3429871,411370513,0,4,0,0,0,0,0,650085
117705,49.7000923,0,0,1,51.3325729,411370513,0,4,0,0,0,0,0,660071
