_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
78,0,3098979.96,1010919.34,5464018.8200000003,67482.5156,0,0,0,0,99.9899979,1073741824,435600,0,47717.5,0
190,0,3098979.96,1010919.34,5464018.8200000003,67528.5,0,0,0,0,99.9899979,1073741824,435800,0,47750.0195,0
300,0,3098979.96,1010919.34,5464018.8200000003,67574.5,0,0,0,0,99.9899979,1073741824,436000,0,47782.5469,0
411,0,3098979.96,1010919.34,5464018.8200000003,67620.5078,0,0,0,0,99.9899979,1073741824,436200,0,47815.0781,0
522,0,3098979.96,1010919.34,5464018.8200000003,67666.5234,0,0,0,0,99.9899979,1073741824,436400,0,47847.6133,0
641,0,3098979.96,1010919.34,5464018.8200000003,67712.5547,0,0,0,0,99.9899979,1073741824,436600,0,47880.168,0
751,0,3098979.96,1010919.34,5464018.8200000003,67758.5859,0,0,0,0,99.9899979,1073741824,436800,0,47912.7227,0
862,0,3098979.96,1010919.34,5464018.8200000003,67804.6328,0,0,0,0,99.9899979,1073741824,437000,0,47945.2773,0
976,0,3098979.96,1010919.34,5464018.8200000003,67850.7031,0,0,0,0,99.9899979,1073741824,437200,0,47977.8516,0
1088,0,3098979.96,1010919.34,5464018.8200000003,67896.7734,0,0,0,0,99.9899979,1073741824,437400,0,48010.4258,0
1200,0,3098979.96,1010919.34,5464018.8200000003,67942.8438,0,0,0,0,99.9899979,1073741824,437600,0,48043.0156,0
1316,0,3098979.96,1010919.34,5464018.8200000003,67988.9375,0,0,0,0,99.9899979,1073741824,437800,0,48075.6016,0
1435,0,3098979.96,1010919.34,5464018.8200000003,68035.0469,0,0,0,0,99.9899979,1073741824,438000,0,48108.2031,0
1553,0,3098979.96,1010919.34,5464018.8200000003,68081.1563,0,0,0,0,99.9899979,1073741824,438200,0,48140.8086,0
1667,0,3098979.96,1010919.34,5464018.8200000003,68127.2656,0,0,0,0,99.9899979,1073741824,438400,0,48173.4219,0
1776,0,3098979.96,1010919.34,5464018.8200000003,68173.4063,0,0,0,0,99.9899979,1073741824,438600,0,48206.0469,0
1882,0,3098979.96,1010919.34,5464018.8200000003,68219.5391,0,0,0,0,99.9899979,1073741824,438800,0,48238.6758,0
1996,0,3098979.96,1010919.34,5464018.8200000003,68265.6875,0,0,0,0,99.9899979,1073741824,439000,0,48271.3086,0
2108,0,3098979.96,1010919.34,5464018.8200000003,68311.8516,0,0,0,0,99.9899979,1073741824,439200,0,48303.9492,0
2223,0,3098979.96,1010919.34,5464018.8200000003,68358.0391,0,0,0,0,99.9899979,1073741824,439400,0,48336.6016,0
2333,0,3098979.96,1010919.34,5464018.8200000003,68404.2109,0,0,0,0,99.9899979,1073741824,439600,0,48369.2578,0
2447,0,3098979.96,1010919.34,5464018.8200000003,68450.4141,0,0,0,0,99.9899979,1073741824,439800,0,48401.9258,0
2559,0,3098979.96,1010919.34,5464018.8200000003,68496.6094,0,0,0,0,99.9899979,1073741824,440000,0,48434.5977,0
2672,0,3098979.96,1010919.34,5464018.8200000003,68542.8359,0,0,0,0,99.9899979,1073741824,440200,0,48467.2734,0
2788,0,3098979.96,1010919.34,5464018.8200000003,68589.0547,0,0,0,0,99.9899979,1073741824,440400,0,48499.9688,0
2901,0,3098979.96,1010919.34,5464018.8200000003,68635.2891,0,0,0,0,99.9899979,1073741824,440600,0,48532.6641,0
3016,0,3098979.96,1010919.34,5464018.8200000003,68681.5391,0,0,0,0,99.9899979,1073741824,440800,0,48565.3672,0
3130,0,3098979.96,1010919.34,5464018.8200000003,68727.7969,0,0,0,0,99.9899979,1073741824,441000,0,48598.0742,0
3241,0,3098979.96,1010919.34,5464018.8200000003,68774.0625,0,0,0,0,99.9899979,1073741824,441200,0,48630.7891,0
3355,0,3098979.96,1010919.34,5464018.8200000003,68820.3281,0,0,0,0,99.9899979,1073741824,441400,0,48663.5156,0
3470,0,3098979.96,1010919.34,5464018.8200000003,68866.6172,0,0,0,0,99.9899979,1073741824,441600,0,48696.2461,0
3583,0,3098979.96,1010919.34,5464018.8200000003,68912.9219,0,0,0,0,99.9899979,1073741824,441800,0,48728.9805,0
3697,0,3098979.96,1010919.34,5464018.8200000003,68959.2266,0,0,0,0,99.9899979,1073741824,442000,0,48761.7305,0
3810,0,3098979.96,1010919.34,5464018.8200000003,69005.5469,0,0,0,0,99.9899979,1073741824,442200,0,48794.4844,0
3919,0,3098979.96,1010919.34,5464018.8200000003,69051.875,0,0,0,0,99.9899979,1073741824,442400,0,48827.25,0
4037,0,3098979.96,1010919.34,5464018.8200000003,69098.2109,0,0,0,0,99.9899979,1073741824,442600,0,48860.0156,0
4153,0,3098979.96,1010919.34,5464018.8200000003,69144.5625,0,0,0,0,99.9899979,1073741824,442800,0,48892.7891,0
4264,0,3098979.96,1010919.34,5464018.8200000003,69190.9297,0,0,0,0,99.9899979,1073741824,443000,0,48925.5742,0
4377,0,3098979.96,1010919.34,5464018.8200000003,69237.2969,0,0,0,0,99.9899979,1073741824,443200,0,48958.3633,0
4491,0,3098979.96,1010919.34,5464018.8200000003,69283.6719,0,0,0,0,99.9899979,1073741824,443400,0,48991.1641,0
4608,0,3098979.96,1010919.34,5464018.8200000003,69330.0703,0,0,0,0,99.9899979,1073741824,443600,0,49023.9609,0
4723,0,3098979.96,1010919.34,5464018.8200000003,69376.4766,0,0,0,0,99.9899979,1073741824,443800,0,49056.7734,0
4840,0,3098979.96,1010919.34,5464018.8200000003,69422.875,0,0,0,0,99.9899979,1073741824,444000,0,49089.5938,0
4955,0,3098979.96,1010919.34,5464018.8200000003,69469.3047,0,0,0,0,99.9899979,1073741824,444200,0,49122.418,0
5063,0,3098979.96,1010919.34,5464018.8200000003,69515.7344,0,0,0,0,99.9899979,1073741824,444400,0,49155.2539,0
