_ID_,cBrdConfig,checksum,gps1AntOffset[0],gps1AntOffset[1],gps1AntOffset[2],gps2AntOffset[0],gps2AntOffset[1],gps2AntOffset[2],gpsTimeSyncPeriodMs,insDynModel,insOffset[0],insOffset[1],insOffset[2],insRotation[0],insRotation[1],insRotation[2],ioConfig,key,lastLla[0],lastLla[1],lastLla[2],lastLlaTimeOfWeekMs,lastLlaUpdateDistance,lastLlaWeek,magDeclination,magInclination,refLla[0],refLla[1],refLla[2],RTKCfgBits,sensorConfig,ser0BaudRate,ser1BaudRate,size,startupGPSDtMs,startupImuDtMs,startupNavDtMs,sysCfgBits,zeroVelOffset[0],zeroVelOffset[1],zeroVelOffset[2],zeroVelRotation[0],zeroVelRotation[1],zeroVelRotation[2]
1249,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
6657,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
17335,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
21808,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
27190,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
32846,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
38580,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
44250,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
49900,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
55511,0,1551183652,0,0,0,0,0,0,1000,8,0,0,0,0,0,0,0,21,59.347631499999999,18.071044499999999,76.988,207676400,1000,2039,0,0,40.055707550089494,-111.65863757137882,1418.5979414181784,0,15,921600,3000000,200,200,1,4,0,0,0,0,0,0,0
