_ID_,hdwStatus,insStatus,lla[0],lla[1],lla[2],qn2b[0],qn2b[1],qn2b[2],qn2b[3],timeOfWeek,uvw[0],uvw[1],uvw[2],week
1,2,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978299797,-0.00895415805,0.0100927977,0.206754312,437.77693213289604,0,0,0,0
58,2,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978311777,-0.00890453439,0.0100665083,0.20670107,437.87690771883354,0,0,0,0
118,2,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978308916,-0.00889768824,0.0100744897,0.20671466,437.97697485750541,0,0,0,0
169,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978308499,-0.00889678113,0.0100763859,0.206717029,438.07695044344291,0,0,0,0
227,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978314161,-0.00888105296,0.0100683719,0.206691042,438.17692602938041,0,0,0,0
280,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978312016,-0.00889187213,0.0100660445,0.20670101,438.27690161531791,0,0,0,0
337,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978311121,-0.0088883955,0.0100660445,0.206704944,438.37696875398979,0,0,0,0
389,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978294194,-0.00891548209,0.0100830877,0.206783041,438.47694433992729,0,0,0,0
449,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978301644,-0.008911415,0.0100795198,0.206748128,438.57691992586479,0,0,0,0
502,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.9783113,-0.00888302829,0.0100797508,0.20670414,438.67689551180229,0,0,0,0
561,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978294015,-0.00891721342,0.0100838915,0.206784323,438.77696265047416,0,0,0,0
619,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978280306,-0.00890892744,0.0100930864,0.20684877,438.87693823641166,0,0,0,0
677,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978261828,-0.00892732199,0.0100884708,0.206935242,438.97691382234916,0,0,0,0
732,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978254974,-0.00893413834,0.0100653637,0.206968531,439.07688940828666,0,0,0,0
791,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978247702,-0.00894373469,0.010069414,0.207002342,439.17695654695854,0,0,0,0
842,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978258908,-0.00892223883,0.0100736097,0.206950292,439.27693213289604,0,0,0,0
901,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978257716,-0.00890602544,0.0100654168,0.206957191,439.37690771883354,0,0,0,0
957,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978252232,-0.00892143603,0.0100552961,0.206982583,439.47688330477104,0,0,0,0
1012,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978243232,-0.00892314967,0.0100742187,0.207024366,439.57695044344291,0,0,0,0
1068,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978227437,-0.00893003587,0.0100662671,0.207099348,439.67692602938041,0,0,0,0
1124,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978207707,-0.00895419903,0.0100928908,0.207189709,439.77690161531791,0,0,0,0
1179,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978202105,-0.0089766616,0.0101115629,0.207214221,439.87687720125541,0,0,0,0
1235,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978195012,-0.00899846945,0.0101177609,0.207246885,439.97694433992729,0,0,0,0
1296,0,402983953,59.347631500000006,18.071044499999999,76.987999998964369,0.978201568,-0.00897447765,0.0101155089,0.207217202,440.07691992586479,0,0,0,0
